"sp_name","bycatch"
"K. pelamis",5378.1032
"E. bipinnulata",2862.44676
"E. alletteratus",2387.778
"Auxis spp.",2297.7884999
"Carangidae",2116.26384
"Balistidae",1482.20655
"A. solandri",1213.2460601
"Coryphaenidae",868.6761099
"M. nigricans",793.1537999
"Sphyrnidae",660.0083998
"T. albacares",412.989
"Mobulidae",208.895785818734
"Chelonioidea",189.15789
"T. obesus",178.771
"S. rivoliana",97.4301
"Molidae",68.3704
"Sphyraenidae",61.45476
"Istiophoridae",49.5191828723972
"L. surinamensis",47.79402
"Lamnidae",30.4197
"P. glauca",26.9806
"Kyphosus spp.",21.5867
"Aluterus spp.",16.86408
"I. albicans",16.12961
"X. gladius",14.1411
"Alopiidae",2.62586666666667
"Dasyatidae",1.64719
"Echeneidae",1.53218725868726
"Tetraodontidae",1.33818
"Elasmobranchii",0.651196091954023
"Uraspis spp.",0.5982
"Bramidae",0.28321
"Belonidae",0.081
"Myliobatidae",0.056
"Rajiformes",0.027
"Exocoetidae",0.0205
"R. pretiosus",0.006
