"sp_name","bycatch"
"C. falciformis",537.7748999
"T. albacares",201.371
"K. pelamis",144.408
"Mobulidae",134.900107333787
"Auxis spp.",132.892
"E. alletteratus",111.026
"I. albicans",89.1015
"T. obesus",84.737
"Chelonioidea",43.90386
"Carcharhinidae",43.5058433333333
"M. nigricans",43.0464
"Molidae",40.1456
"C. crysos",37.6227
"Sphyraenidae",33.80426
"P. glauca",23.7904
"Carangidae",10.0308
"C. maculata",7.6341
"Lamnidae",6.934
"E. bipinnulata",5.4501
"Coryphaenidae",4.7601
"Xiphioidea",3.3769602455953
"A. solandri",2.957
"X. gladius",2.5815
"Elasmobranchii",1.49813747126437
"Dasyatidae",0.94462
"Tetraodontidae",0.4561
"S. rivoliana",0.3146
"L. surinamensis",0.3047
"Echeneidae",0.221760540540541
"S. barracuda",0.2173
"Alopiidae",0.1798
"Kyphosus spp.",0.1648
"Balistidae",0.053
"Exocoetidae",0.016
"Belonidae",0.0099
"Rajiformes",0.00916666666666667
"Myliobatidae",0.008
"Osteichthyes",0.0065
"Aluterus spp.",0.0013
"Uraspis spp.",9e-04
