"sp_name","Catch"
"Katsuwonus pelamis",5777.2662
"Elagatis bipinnulata",3003.76186
"Caranx crysos",2479.968
"Euthynnus alletteratus",2434.042
"Auxis spp",2388.7244999
"Canthidermis maculata",1621.0161
"Acanthocybium solandri",1271.35878
"Carcharhinus falciformis",1226.9877804
"Coryphaenidae",934.8727199
"Makaira nigricans",817.2259999
"Sphyrnidae",702.2314598
"Thunnus albacares",456.204
"Mobulidae",228.054185818734
"Thunnus obesus",204.758
"sea turtles",193.23335
"Seriola rivoliana",108.6396
"Molidae",73.8487
"other Carcharhinidae",66.917
"Sphyraena barracuda",65.49546
"Other billfishes",53.9187429578217
"Lobotes surinamensis",52.34032
"Xiphias gladius",33.4058
"Lamnidae",32.4028
"Carangidae",30.8228
"Prionace glauca",28.7791
"Kyphosus",22.2807
"Istiophorus albicans",18.51481
"Aluterus",17.02518
"Uraspis",5.7942
"Other balistidae",5.66665
"Alopidae",2.71216666666667
"Dasyatidae",1.68699
"Echeneidae",1.57580606177606
"Tetraodontidae",1.36698
"Other Carangidae",0.99786
"other shark",0.714596091954023
"Bramidae",0.28441
"Thunnus alalunga",0.226
"Belonidae",0.0825
"Myliobatidae",0.056
"Balistidae",0.0485
"Rajiformes",0.0301666666666667
"Exocoetidae",0.021
"bony fish other family",0.0082
"Ruvettus pretiosus",0.008
"other Scombridae",0.006
"Sphyraenidae",0.0022
