"sp_name","Catch"
"Carcharhinus falciformis",537.7748999
"Thunnus albacares",201.371
"Katsuwonus pelamis",144.408
"Mobulidae",134.900107333787
"Auxis spp",132.892
"Euthynnus alletteratus",111.026
"Istiophorus albicans",89.1015
"Thunnus obesus",84.737
"sea turtles",43.90386
"other Carcharhinidae",43.5058433333333
"Makaira nigricans",43.0464
"Molidae",40.1456
"Caranx crysos",37.6227
"Sphyrnidae",33.80426
"Prionace glauca",23.7904
"Carangidae",10.007
"Canthidermis maculata",7.6341
"Lamnidae",6.934
"Elagatis bipinnulata",5.4501
"Coryphaenidae",4.7601
"Other billfishes",3.3769602455953
"Acanthocybium solandri",2.957
"Xiphias gladius",2.5815
"other shark",1.49813747126437
"Dasyatidae",0.94462
"Tetraodontidae",0.4561
"Seriola rivoliana",0.3146
"Lobotes surinamensis",0.3047
"Echeneidae",0.221760540540541
"Sphyraena barracuda",0.2173
"Alopidae",0.1798
"Kyphosus",0.1648
"Other balistidae",0.052
"Other Carangidae",0.0238
"Exocoetidae",0.016
"Belonidae",0.0099
"Rajiformes",0.00916666666666667
"Myliobatidae",0.008
"bony fish other family",0.0065
"Aluterus",0.0013
"Balistidae",0.001
"Uraspis",9e-04
