"Year","est","model","type","species"
2013,311.557626445089,"VAST","single","Katsuwonus pelamis"
2014,441.516239297534,"VAST","single","Katsuwonus pelamis"
2015,235.172138240275,"VAST","single","Katsuwonus pelamis"
2016,251.463098888518,"VAST","single","Katsuwonus pelamis"
2017,393.788703887888,"VAST","single","Katsuwonus pelamis"
2018,170.823247352425,"VAST","single","Katsuwonus pelamis"
2019,238.459293102815,"VAST","single","Katsuwonus pelamis"
2020,215.178895436287,"VAST","single","Katsuwonus pelamis"
2021,188.55015870433,"VAST","single","Katsuwonus pelamis"
2022,298.183772535787,"VAST","single","Katsuwonus pelamis"
2023,124.4182317351,"VAST","single","Katsuwonus pelamis"
