"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2013","Stratum_1"," [kg]",1720532.42768464,455713.923533448,0.322974509416871
"1","2014","Stratum_1"," [kg]",4955022.14231977,1096332.15527023,0.261815678366732
"1","2015","Stratum_1"," [kg]",2620176.03948777,370580.054736033,0.158286134926112
"1","2016","Stratum_1"," [kg]",2423761.26820471,353894.589006177,0.16634851235326
"1","2017","Stratum_1"," [kg]",3985012.94104321,730518.55475176,0.211789686218599
"1","2018","Stratum_1"," [kg]",2216415.8473718,433724.524384532,0.230816597885522
"1","2019","Stratum_1"," [kg]",2361182.62801143,469206.424879213,0.238216489663013
"1","2020","Stratum_1"," [kg]",2781109.50183439,658874.826388727,0.288653720490848
"1","2021","Stratum_1"," [kg]",2211475.15123183,506484.878427517,0.278132301853897
"1","2022","Stratum_1"," [kg]",3572515.76198828,1030608.50889806,0.361312377484715
"1","2023","Stratum_1"," [kg]",2333250.46440596,583961.12362168,0.301267560765844
