"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,75.7869322885327,5.50151583163086,75.7869322885327,NA,65.0039612585362,86.5699033185292,"tV_mod_ln","single","Acanthocybium solandri"
2014,94.1423807673474,8.09816624646658,94.1423807673474,NA,78.269974924273,110.014786610422,"tV_mod_ln","single","Acanthocybium solandri"
2015,70.6354225271071,3.42922391674909,70.6354225271071,NA,63.9141436502788,77.3567014039353,"tV_mod_ln","single","Acanthocybium solandri"
2016,106.65996059254,4.56227808152189,106.65996059254,NA,97.7178955527568,115.602025632323,"tV_mod_ln","single","Acanthocybium solandri"
2017,82.5086360915726,3.3619985086716,82.5086360915726,NA,75.9191190145763,89.0981531685689,"tV_mod_ln","single","Acanthocybium solandri"
2018,85.1047146407307,3.40832914921539,85.1047146407307,NA,78.4243895082685,91.7850397731928,"tV_mod_ln","single","Acanthocybium solandri"
2019,62.3832842863998,3.2893915933349,62.3832842863998,NA,55.9360767634633,68.8304918093362,"tV_mod_ln","single","Acanthocybium solandri"
2020,85.1821906847974,4.03625809378154,85.1821906847974,NA,77.2711248209856,93.0932565486092,"tV_mod_ln","single","Acanthocybium solandri"
2021,96.2979214676854,4.24717251924012,96.2979214676854,NA,87.9734633299747,104.622379605396,"tV_mod_ln","single","Acanthocybium solandri"
2022,78.5381696068349,3.39978290780567,78.5381696068349,NA,71.8745951075358,85.201744106134,"tV_mod_ln","single","Acanthocybium solandri"
2023,62.4617026809369,3.18084702996668,62.4617026809369,NA,56.2272425022022,68.6961628596716,"tV_mod_ln","single","Acanthocybium solandri"
