"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,0,NA,0,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2014,0.921896031591502,NA,0.921896031591502,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2015,0.22455963566849,NA,0.22455963566849,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2016,0.146848263692804,NA,0.146848263692804,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2017,0.310682773932635,NA,0.310682773932635,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2018,0.0242779030915697,NA,0.0242779030915697,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2019,0,NA,0,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2020,0,NA,0,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2021,0.0705566478448296,NA,0.0705566478448296,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2022,0.062316555827767,NA,0.062316555827767,NA,NA,NA,"tV_mod_ln","single","Alopidae"
2023,0,NA,0,NA,NA,NA,"tV_mod_ln","single","Alopidae"
