"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,111.150132172527,31.8033565080863,111.150132172527,NA,48.8155534166783,173.484710928376,"tV_mod_ln_pl","single","Auxis spp"
2014,201.189128682578,52.7428552457644,201.189128682578,NA,97.8131324008792,304.565124964276,"tV_mod_ln_pl","single","Auxis spp"
2015,314.14070527988,41.5217162148402,314.14070527988,NA,232.758141498793,395.523269060966,"tV_mod_ln_pl","single","Auxis spp"
2016,296.657960828778,40.3075374628356,296.657960828778,NA,217.65518740162,375.660734255936,"tV_mod_ln_pl","single","Auxis spp"
2017,251.452116209613,38.9861212912619,251.452116209613,NA,175.039318478739,327.864913940486,"tV_mod_ln_pl","single","Auxis spp"
2018,226.157639450171,47.8628244267828,226.157639450171,NA,132.346503573677,319.968775326666,"tV_mod_ln_pl","single","Auxis spp"
2019,74.2816745787662,14.7662811819691,74.2816745787662,NA,45.3397634621069,103.223585695426,"tV_mod_ln_pl","single","Auxis spp"
2020,112.705407888068,28.1361464867312,112.705407888068,NA,57.5585607740749,167.852255002061,"tV_mod_ln_pl","single","Auxis spp"
2021,76.8655998356354,17.0780559770067,76.8655998356354,NA,43.3926101207023,110.338589550568,"tV_mod_ln_pl","single","Auxis spp"
2022,164.641990718204,44.1716957776281,164.641990718204,NA,78.0654669940528,251.218514442355,"tV_mod_ln_pl","single","Auxis spp"
2023,54.1918771842599,10.8426782709346,54.1918771842599,NA,32.9402277732281,75.4435265952916,"tV_mod_ln_pl","single","Auxis spp"
