"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,213.409365024697,15.8794007850112,213.409365024697,NA,182.285739486075,244.532990563319,"tV_mod_tw","single","Canthidermis maculata"
2014,134.111852403559,11.8686891935822,134.111852403559,NA,110.849221584138,157.37448322298,"tV_mod_tw","single","Canthidermis maculata"
2015,129.586791675647,5.23820797264205,129.586791675647,NA,119.319904049268,139.853679302025,"tV_mod_tw","single","Canthidermis maculata"
2016,124.927828105924,4.87989753196836,124.927828105924,NA,115.363228943266,134.492427268582,"tV_mod_tw","single","Canthidermis maculata"
2017,134.891486659293,5.08338996091473,134.891486659293,NA,124.9280423359,144.854930982686,"tV_mod_tw","single","Canthidermis maculata"
2018,80.3804068120877,2.97019561664584,80.3804068120877,NA,74.5588234034618,86.2019902207136,"tV_mod_tw","single","Canthidermis maculata"
2019,80.3395483068361,3.66308096639719,80.3395483068361,NA,73.1599096126976,87.5191870009746,"tV_mod_tw","single","Canthidermis maculata"
2020,96.0750573738964,4.48126909012211,96.0750573738964,NA,87.291769957257,104.858344790536,"tV_mod_tw","single","Canthidermis maculata"
2021,124.359514987947,4.81968561224172,124.359514987947,NA,114.912931187953,133.806098787941,"tV_mod_tw","single","Canthidermis maculata"
2022,81.0377924451404,2.95449118527428,81.0377924451404,NA,75.2469897220028,86.828595168278,"tV_mod_tw","single","Canthidermis maculata"
2023,83.9827846669627,3.69160559211692,83.9827846669627,NA,76.7472377064136,91.2183316275119,"tV_mod_tw","single","Canthidermis maculata"
