"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,27.7052916872645,3.58619176910108,27.7052916872645,NA,20.6763558198264,34.7342275547026,"tV_mod_ln","single","Carcharhinus falciformis"
2014,30.2439160731646,3.77516071634767,30.2439160731646,NA,22.8446010691231,37.643231077206,"tV_mod_ln","single","Carcharhinus falciformis"
2015,44.7897361800296,2.70454524124954,44.7897361800296,NA,39.4888275071805,50.0906448528787,"tV_mod_ln","single","Carcharhinus falciformis"
2016,69.9267061086357,3.01648137830299,69.9267061086357,NA,64.0144026071618,75.8390096101096,"tV_mod_ln","single","Carcharhinus falciformis"
2017,76.6781118297837,3.11763485587911,76.6781118297837,NA,70.5675475122606,82.7886761473067,"tV_mod_ln","single","Carcharhinus falciformis"
2018,58.1203928823639,2.70591095171918,58.1203928823639,NA,52.8168074169943,63.4239783477335,"tV_mod_ln","single","Carcharhinus falciformis"
2019,67.2567556602581,3.18159349713403,67.2567556602581,NA,61.0208324058754,73.4926789146407,"tV_mod_ln","single","Carcharhinus falciformis"
2020,75.542713183859,3.73376232929213,75.542713183859,NA,68.2245390184464,82.8608873492716,"tV_mod_ln","single","Carcharhinus falciformis"
2021,97.2918968674756,4.6077446365666,97.2918968674756,NA,88.2607173798051,106.323076355146,"tV_mod_ln","single","Carcharhinus falciformis"
2022,94.9158546275497,4.56545599171062,94.9158546275497,NA,85.9675608837968,103.864148371302,"tV_mod_ln","single","Carcharhinus falciformis"
2023,87.6401908157606,4.09805983601362,87.6401908157606,NA,79.6079935371739,95.6723880943473,"tV_mod_ln","single","Carcharhinus falciformis"
