"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,90.4992053111436,7.07998360339179,90.4992053111436,NA,76.6224374484956,104.375973173791,"tV_mod_ln","single","Coryphaenidae"
2014,138.828706275001,10.9880899211851,138.828706275001,NA,117.292050029478,160.365362520524,"tV_mod_ln","single","Coryphaenidae"
2015,85.8795507835562,3.49308433948825,85.8795507835562,NA,79.0331054781592,92.7259960889532,"tV_mod_ln","single","Coryphaenidae"
2016,71.8726216820369,2.53705143955732,71.8726216820369,NA,66.9000008605045,76.8452425035692,"tV_mod_ln","single","Coryphaenidae"
2017,88.8711086331065,3.02526584948545,88.8711086331065,NA,82.941587568115,94.800629698098,"tV_mod_ln","single","Coryphaenidae"
2018,60.6628000202258,2.3463066342106,60.6628000202258,NA,56.064039017173,65.2615610232786,"tV_mod_ln","single","Coryphaenidae"
2019,59.0879976162781,2.98212993394372,59.0879976162781,NA,53.2430229457484,64.9329722868078,"tV_mod_ln","single","Coryphaenidae"
2020,48.3845663177876,2.58410173804642,48.3845663177876,NA,43.3197269112167,53.4494057243586,"tV_mod_ln","single","Coryphaenidae"
2021,61.6375610430028,2.54711163459286,61.6375610430028,NA,56.6452222392008,66.6298998468048,"tV_mod_ln","single","Coryphaenidae"
2022,53.3281095142025,2.32433561007915,53.3281095142025,NA,48.7724117184474,57.8838073099576,"tV_mod_ln","single","Coryphaenidae"
2023,48.0104505521516,2.32890592183668,48.0104505521516,NA,43.4457949453518,52.5751061589515,"tV_mod_ln","single","Coryphaenidae"
