"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,0.0900890792516184,0.0354220684941405,0.0900890792516184,NA,0.020661825003103,0.159516333500134,"tV_mod_ln","single","Dasyatidae"
2014,0.0461792749638052,0.0197845844857178,0.0461792749638052,NA,0.00740148937179826,0.084957060555812,"tV_mod_ln","single","Dasyatidae"
2015,0.0837294688516814,0.0178020230285556,0.0837294688516814,NA,0.0488375037157125,0.11862143398765,"tV_mod_ln","single","Dasyatidae"
2016,0.125277825902814,0.0181524550465957,0.125277825902814,NA,0.0896990140114859,0.160856637794141,"tV_mod_ln","single","Dasyatidae"
2017,0.172993118369163,0.0256481123110491,0.172993118369163,NA,0.122722818239507,0.22326341849882,"tV_mod_ln","single","Dasyatidae"
2018,0.161724128133732,0.0225359705919871,0.161724128133732,NA,0.117553625773437,0.205894630494026,"tV_mod_ln","single","Dasyatidae"
2019,0.181922859604921,0.0351991212055356,0.181922859604921,NA,0.112932582042072,0.250913137167771,"tV_mod_ln","single","Dasyatidae"
2020,0.116927624785199,0.0266847033028671,0.116927624785199,NA,0.0646256063115794,0.169229643258819,"tV_mod_ln","single","Dasyatidae"
2021,0.129949245736146,0.0260377158133242,0.129949245736146,NA,0.0789153227420309,0.180983168730262,"tV_mod_ln","single","Dasyatidae"
2022,0.0899433031593735,0.0177391657195718,0.0899433031593735,NA,0.0551745383490128,0.124712067969734,"tV_mod_ln","single","Dasyatidae"
2023,0.0670415414430642,0.0154302837532231,0.0670415414430642,NA,0.0367981852867469,0.0972848975993814,"tV_mod_ln","single","Dasyatidae"
