"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,0.0693714187067849,0.0286863803082317,0.0693714187067849,NA,0.0131461133026508,0.125596724110919,"tV_mod_ln","single","Echeneidae"
2014,0.0822515649588233,0.037808262830524,0.0822515649588233,NA,0.00814736981099634,0.15635576010665,"tV_mod_ln","single","Echeneidae"
2015,0.145859107397702,0.0352467310391798,0.145859107397702,NA,0.0767755145609098,0.214942700234495,"tV_mod_ln","single","Echeneidae"
2016,0.125679974359295,0.027322773909332,0.125679974359295,NA,0.0721273374970046,0.179232611221586,"tV_mod_ln","single","Echeneidae"
2017,0.117019741870501,0.0241939472072814,0.117019741870501,NA,0.0695996053442295,0.164439878396773,"tV_mod_ln","single","Echeneidae"
2018,0.100781423487664,0.0234149897787416,0.100781423487664,NA,0.0548880435213306,0.146674803453998,"tV_mod_ln","single","Echeneidae"
2019,0.184656769367585,0.050869600410515,0.184656769367585,NA,0.0849523525629758,0.284361186172195,"tV_mod_ln","single","Echeneidae"
2020,0.0929265850688633,0.0273893333062755,0.0929265850688633,NA,0.0392434917885634,0.146609678349163,"tV_mod_ln","single","Echeneidae"
2021,0.104875822705367,0.0347447253017601,0.104875822705367,NA,0.0367761611139167,0.172975484296816,"tV_mod_ln","single","Echeneidae"
2022,0.0485885960876706,0.0131797974208645,0.0485885960876706,NA,0.0227561931427762,0.074420999032565,"tV_mod_ln","single","Echeneidae"
2023,0.0223593923316891,0.00770933123176475,0.0223593923316891,NA,0.0072491031174302,0.037469681545948,"tV_mod_ln","single","Echeneidae"
