"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,259.709988159101,15.7970541153251,259.709988159101,NA,228.747762093064,290.672214225138,"tV_mod_tw","single","Elagatis bipinnulata"
2014,151.992737420367,13.6840318449463,151.992737420367,NA,125.172035004272,178.813439836461,"tV_mod_tw","single","Elagatis bipinnulata"
2015,323.311159503614,13.2408340635187,323.311159503614,NA,297.359124739118,349.263194268111,"tV_mod_tw","single","Elagatis bipinnulata"
2016,373.723825692922,13.5864155954554,373.723825692922,NA,347.094451125829,400.353200260015,"tV_mod_tw","single","Elagatis bipinnulata"
2017,221.628716191956,7.66198223258438,221.628716191956,NA,206.61123101609,236.646201367821,"tV_mod_tw","single","Elagatis bipinnulata"
2018,152.43705866388,6.47903747322204,152.43705866388,NA,139.738145216365,165.135972111395,"tV_mod_tw","single","Elagatis bipinnulata"
2019,110.303963186569,6.03646717335726,110.303963186569,NA,98.4724875267886,122.135438846349,"tV_mod_tw","single","Elagatis bipinnulata"
2020,220.533519065178,11.0470147834792,220.533519065178,NA,198.881370089558,242.185668040797,"tV_mod_tw","single","Elagatis bipinnulata"
2021,341.32477092193,14.0099299417052,341.32477092193,NA,313.865308236188,368.784233607672,"tV_mod_tw","single","Elagatis bipinnulata"
2022,190.65639141721,7.25189749623818,190.65639141721,NA,176.442672324583,204.870110509837,"tV_mod_tw","single","Elagatis bipinnulata"
2023,267.375984354638,9.71027297256734,267.375984354638,NA,248.343849328406,286.408119380869,"tV_mod_tw","single","Elagatis bipinnulata"
