"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,329.749020461646,100.747748579192,329.749020461646,NA,132.28343324643,527.214607676863,"tinyVAST","single","Katsuwonus pelamis"
2014,511.810047027441,104.020054465626,511.810047027441,NA,307.930740274815,715.689353780067,"tinyVAST","single","Katsuwonus pelamis"
2015,257.174048136983,30.5914124344004,257.174048136983,NA,197.214879765558,317.133216508408,"tinyVAST","single","Katsuwonus pelamis"
2016,277.757260666631,33.6172765500361,277.757260666631,NA,211.86739862856,343.647122704702,"tinyVAST","single","Katsuwonus pelamis"
2017,442.34508635853,67.5777012862318,442.34508635853,NA,309.892791837516,574.797380879544,"tinyVAST","single","Katsuwonus pelamis"
2018,202.004197169247,40.9376151712365,202.004197169247,NA,121.766471433624,282.241922904871,"tinyVAST","single","Katsuwonus pelamis"
2019,272.616526446237,64.9617025130981,272.616526446237,NA,145.291589520565,399.94146337191,"tinyVAST","single","Katsuwonus pelamis"
2020,253.032567480109,64.2300149129943,253.032567480109,NA,127.14173825064,378.923396709578,"tinyVAST","single","Katsuwonus pelamis"
2021,219.29106804955,46.6713943317758,219.29106804955,NA,127.815135159269,310.76700093983,"tinyVAST","single","Katsuwonus pelamis"
2022,355.493243315897,93.9501777294724,355.493243315897,NA,171.350894966131,539.635591665663,"tinyVAST","single","Katsuwonus pelamis"
2023,145.062978466614,30.615694815557,145.062978466614,NA,85.056216628122,205.069740305106,"tinyVAST","single","Katsuwonus pelamis"
