"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,2.70712403221273,1.1501866646882,2.70712403221273,NA,0.452758169423851,4.96148989500161,"tV_mod_ln","single","Lamnidae"
2014,5.44096025174202,1.53445992727729,5.44096025174202,NA,2.43341879427853,8.44850170920551,"tV_mod_ln","single","Lamnidae"
2015,2.36895376169417,0.389872040072098,2.36895376169417,NA,1.60480456315286,3.13310296023548,"tV_mod_ln","single","Lamnidae"
2016,2.44902264813673,0.308522599016478,2.44902264813673,NA,1.84431835406443,3.05372694220903,"tV_mod_ln","single","Lamnidae"
2017,3.36856576610961,0.483169151091076,3.36856576610961,NA,2.4215542299711,4.31557730224812,"tV_mod_ln","single","Lamnidae"
2018,3.0969203793662,0.513533170384791,3.0969203793662,NA,2.09039536541201,4.10344539332039,"tV_mod_ln","single","Lamnidae"
2019,4.48252727348262,0.888987212860722,4.48252727348262,NA,2.7401123362756,6.22494221068963,"tV_mod_ln","single","Lamnidae"
2020,2.03359198543842,0.404084704936022,2.03359198543842,NA,1.24158596376381,2.82559800711302,"tV_mod_ln","single","Lamnidae"
2021,2.43046595215398,0.479710581377064,2.43046595215398,NA,1.49023321265493,3.37069869165302,"tV_mod_ln","single","Lamnidae"
2022,1.15253552827251,0.243675926373049,1.15253552827251,NA,0.67493071258133,1.63014034396368,"tV_mod_ln","single","Lamnidae"
2023,1.63734955462306,0.348739956784803,1.63734955462306,NA,0.953819239324845,2.32087986992127,"tV_mod_ln","single","Lamnidae"
