"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,5.58699488277384,0.602929246593871,5.58699488277384,NA,4.40525355944985,6.76873620609783,"tV_mod_ln","single","Lobotes surinamensis"
2014,6.03306121727484,0.791728558426348,6.03306121727484,NA,4.4812732427592,7.58484919179049,"tV_mod_ln","single","Lobotes surinamensis"
2015,3.92562085881971,0.247894084765319,3.92562085881971,NA,3.43974845267969,4.41149326495974,"tV_mod_ln","single","Lobotes surinamensis"
2016,5.34266949791653,0.292772860506783,5.34266949791653,NA,4.76883469132323,5.91650430450982,"tV_mod_ln","single","Lobotes surinamensis"
2017,4.35696313702841,0.240407499197357,4.35696313702841,NA,3.88576443860159,4.82816183545523,"tV_mod_ln","single","Lobotes surinamensis"
2018,2.44880335547898,0.176885369088504,2.44880335547898,NA,2.10210803206552,2.79549867889245,"tV_mod_ln","single","Lobotes surinamensis"
2019,4.14364877223948,0.307022036067205,4.14364877223948,NA,3.54188558154776,4.7454119629312,"tV_mod_ln","single","Lobotes surinamensis"
2020,2.7601212672843,0.250084940617349,2.7601212672843,NA,2.2699547836743,3.25028775089431,"tV_mod_ln","single","Lobotes surinamensis"
2021,2.63256610580306,0.196729296904527,2.63256610580306,NA,2.24697668387019,3.01815552773594,"tV_mod_ln","single","Lobotes surinamensis"
2022,1.72758438995712,0.140262237610748,1.72758438995712,NA,1.45267040424005,2.00249837567419,"tV_mod_ln","single","Lobotes surinamensis"
2023,3.99009901930036,0.299108747902326,3.99009901930036,NA,3.4038458734118,4.57635216518892,"tV_mod_ln","single","Lobotes surinamensis"
