"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,43.0114099696409,4.44679929604833,43.0114099696409,NA,34.2956833493861,51.7271365898956,"tV_mod_ln","single","Makaira nigricans"
2014,31.1717269924805,4.01464531515328,31.1717269924805,NA,23.30302217478,39.0404318101809,"tV_mod_ln","single","Makaira nigricans"
2015,34.3860501060459,2.06742865324534,34.3860501060459,NA,30.3338899456851,38.4382102664068,"tV_mod_ln","single","Makaira nigricans"
2016,53.9343041703579,2.20992678091602,53.9343041703579,NA,49.6028476797625,58.2657606609533,"tV_mod_ln","single","Makaira nigricans"
2017,76.8259791344841,2.88463643498733,76.8259791344841,NA,71.1720917219089,82.4798665470593,"tV_mod_ln","single","Makaira nigricans"
2018,68.2270265416542,2.54657563826307,68.2270265416542,NA,63.2357382906586,73.2183147926499,"tV_mod_ln","single","Makaira nigricans"
2019,65.1156717932063,2.90331040112663,65.1156717932063,NA,59.4251834069981,70.8061601794145,"tV_mod_ln","single","Makaira nigricans"
2020,50.4624087955834,2.46713532590318,50.4624087955834,NA,45.6268235568131,55.2979940343536,"tV_mod_ln","single","Makaira nigricans"
2021,61.4068608954681,2.96670210079995,61.4068608954681,NA,55.5921247779002,67.221597013036,"tV_mod_ln","single","Makaira nigricans"
2022,49.940373657898,2.36589276909372,49.940373657898,NA,45.3032238304743,54.5775234853217,"tV_mod_ln","single","Makaira nigricans"
2023,44.989603866097,2.25240560434727,44.989603866097,NA,40.5748888815764,49.4043188506176,"tV_mod_ln","single","Makaira nigricans"
