"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,40.1377442537729,11.8726086320527,40.1377442537729,NA,16.8674313349496,63.4080571725962,"tV_mod_ln","single","Mobulidae"
2014,19.5457690906509,4.95765253791427,19.5457690906509,NA,9.82877011633889,29.2627680649628,"tV_mod_ln","single","Mobulidae"
2015,6.60700608130387,1.01599325154015,6.60700608130387,NA,4.61565930828517,8.59835285432257,"tV_mod_ln","single","Mobulidae"
2016,15.4667208589803,1.69525656143331,15.4667208589803,NA,12.144017998571,18.7894237193896,"tV_mod_ln","single","Mobulidae"
2017,17.4578052126295,2.25155497573708,17.4578052126295,NA,13.0447574601848,21.8708529650742,"tV_mod_ln","single","Mobulidae"
2018,32.7635301968496,3.98475119994962,32.7635301968496,NA,24.9534178449483,40.5736425487508,"tV_mod_ln","single","Mobulidae"
2019,44.7571380311233,5.84736909610991,44.7571380311233,NA,33.2962946027479,56.2179814594987,"tV_mod_ln","single","Mobulidae"
2020,45.9795687080473,6.4171534568089,45.9795687080473,NA,33.4019479327019,58.5571894833927,"tV_mod_ln","single","Mobulidae"
2021,28.5004101053281,4.66015971809455,28.5004101053281,NA,19.3664970578628,37.6343231527934,"tV_mod_ln","single","Mobulidae"
2022,18.0009323766799,2.8474918366091,18.0009323766799,NA,12.4198483769261,23.5820163764337,"tV_mod_ln","single","Mobulidae"
2023,12.6523892957296,2.10868433072689,12.6523892957296,NA,8.51936800750494,16.7854105839543,"tV_mod_ln","single","Mobulidae"
