"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,11.2141003873436,6.93953834916594,11.2141003873436,NA,-2.38739477702169,24.8155955517088,"tV_mod_ln","single","Molidae"
2014,2.92203910385811,1.24631411254641,2.92203910385811,NA,0.479263443267151,5.36481476444906,"tV_mod_ln","single","Molidae"
2015,4.58236546740586,0.953129797452705,4.58236546740586,NA,2.71423106439856,6.45049987041317,"tV_mod_ln","single","Molidae"
2016,3.28940899162664,0.623357307857957,3.28940899162664,NA,2.06762866822505,4.51118931502824,"tV_mod_ln","single","Molidae"
2017,3.00192939024141,0.626035447616967,3.00192939024141,NA,1.77489991291215,4.22895886757066,"tV_mod_ln","single","Molidae"
2018,3.27834891893295,0.599966365185888,3.27834891893295,NA,2.10241484316861,4.45428299469729,"tV_mod_ln","single","Molidae"
2019,5.43108597120778,1.13553894185767,5.43108597120778,NA,3.20542964516675,7.6567422972488,"tV_mod_ln","single","Molidae"
2020,4.99612750625191,1.16329214223951,4.99612750625191,NA,2.71607490746246,7.27618010504136,"tV_mod_ln","single","Molidae"
2021,5.76658690454676,1.17400889978742,5.76658690454676,NA,3.46552946096342,8.06764434813011,"tV_mod_ln","single","Molidae"
2022,5.95762059818844,0.913766902181518,5.95762059818844,NA,4.16663746991266,7.74860372646421,"tV_mod_ln","single","Molidae"
2023,7.59887459957254,1.18573295545085,7.59887459957254,NA,5.27483800688887,9.9229111922562,"tV_mod_ln","single","Molidae"
