"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,0.016022076754161,0.0226151008219663,0.016022076754161,NA,-0.0283035208568929,0.0603476743652149,"tV_mod_ln","single","Other Carangidae"
2014,0.00299917795618284,0.00395470360751517,0.00299917795618284,NA,-0.0047520411145469,0.0107503970269126,"tV_mod_ln","single","Other Carangidae"
2015,0.0129540657867804,0.00531412770592324,0.0129540657867804,NA,0.00253837548317088,0.02336975609039,"tV_mod_ln","single","Other Carangidae"
2016,0.017514627020134,0.00696306946229406,0.017514627020134,NA,0.00386701087403761,0.0311622431662303,"tV_mod_ln","single","Other Carangidae"
2017,0.0823938940491874,0.0328059303968176,0.0823938940491874,NA,0.018094270471425,0.14669351762695,"tV_mod_ln","single","Other Carangidae"
2018,0.0304375611253757,0.0119048276517723,0.0304375611253757,NA,0.00710409892790198,0.0537710233228494,"tV_mod_ln","single","Other Carangidae"
2019,0.118091989549991,0.0326561660378163,0.118091989549991,NA,0.0540859041158707,0.182098074984111,"tV_mod_ln","single","Other Carangidae"
2020,0.306228353924052,0.149735844753392,0.306228353924052,NA,0.0127460982074046,0.599710609640699,"tV_mod_ln","single","Other Carangidae"
2021,0.00823475827096682,0.00486878601803546,0.00823475827096682,NA,-0.00130806232438268,0.0177775788663163,"tV_mod_ln","single","Other Carangidae"
2022,0.0122571949798445,0.0057454562662636,0.0122571949798445,NA,0.000996100697967876,0.0235182892617212,"tV_mod_ln","single","Other Carangidae"
2023,0.0167349590760118,0.0163638943957398,0.0167349590760118,NA,-0.0153382739396382,0.0488081920916618,"tV_mod_ln","single","Other Carangidae"
