"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,0.236283797642081,0.0528446992044745,0.236283797642081,NA,0.132708187201311,0.339859408082851,"tV_mod_ln","single","Other balistidae"
2014,0.159795761013627,0.0510621976828017,0.159795761013627,NA,0.0597138535553359,0.259877668471919,"tV_mod_ln","single","Other balistidae"
2015,0.301779958126467,0.0355675275877433,0.301779958126467,NA,0.23206760405449,0.371492312198444,"tV_mod_ln","single","Other balistidae"
2016,0.399758694289766,0.0422516347534907,0.399758694289766,NA,0.316945490172924,0.482571898406608,"tV_mod_ln","single","Other balistidae"
2017,0.325437147107616,0.034145219919627,0.325437147107616,NA,0.258512516065148,0.392361778150085,"tV_mod_ln","single","Other balistidae"
2018,0.193931403470074,0.0234234997263828,0.193931403470074,NA,0.148021344006364,0.239841462933784,"tV_mod_ln","single","Other balistidae"
2019,0.102375372772139,0.0175516117149266,0.102375372772139,NA,0.0679742138108831,0.136776531733395,"tV_mod_ln","single","Other balistidae"
2020,0.21611132089964,0.0358675862962801,0.21611132089964,NA,0.145810851758931,0.286411790040349,"tV_mod_ln","single","Other balistidae"
2021,0.286184182142738,0.0424071889654997,0.286184182142738,NA,0.203066091770359,0.369302272515117,"tV_mod_ln","single","Other balistidae"
2022,0.323703361802771,0.0428174975285366,0.323703361802771,NA,0.239781066646839,0.407625656958703,"tV_mod_ln","single","Other balistidae"
2023,0.531670691791223,0.0716709771721262,0.531670691791223,NA,0.391195576533856,0.67214580704859,"tV_mod_ln","single","Other balistidae"
