"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,113.285700713776,29.3835970028474,113.285700713776,NA,55.6938505881953,170.877550839357,"tV_mod_ln","single","Sphyrnidae"
2014,37.4971025647355,10.6813570598508,37.4971025647355,NA,16.5616427274279,58.4325624020432,"tV_mod_ln","single","Sphyrnidae"
2015,52.0909097545699,6.04348103483203,52.0909097545699,NA,40.2456869262991,63.9361325828407,"tV_mod_ln","single","Sphyrnidae"
2016,40.2563156698118,4.26778368332845,40.2563156698118,NA,31.891459650488,48.6211716891355,"tV_mod_ln","single","Sphyrnidae"
2017,35.1703520766474,4.1903074547788,35.1703520766474,NA,26.957349465281,43.3833546880139,"tV_mod_ln","single","Sphyrnidae"
2018,20.513916400794,3.3081933566744,20.513916400794,NA,14.0298574217122,26.9979753798758,"tV_mod_ln","single","Sphyrnidae"
2019,60.7278033387942,7.95747895823351,60.7278033387942,NA,45.1311445806565,76.3244620969318,"tV_mod_ln","single","Sphyrnidae"
2020,47.5219597655807,8.11424749357738,47.5219597655807,NA,31.6180346781691,63.4258848529924,"tV_mod_ln","single","Sphyrnidae"
2021,27.2231044930833,4.24299487351866,27.2231044930833,NA,18.9068345409867,35.5393744451798,"tV_mod_ln","single","Sphyrnidae"
2022,19.6092131114664,2.91707836227133,19.6092131114664,NA,13.8917395214146,25.3266867015182,"tV_mod_ln","single","Sphyrnidae"
2023,45.2405521410272,6.09609460532003,45.2405521410272,NA,33.2922067146,57.1888975674545,"tV_mod_ln","single","Sphyrnidae"
