"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,0.26020041438875,0.130792047175073,0.26020041438875,NA,0.00384800192560752,0.516552826851893,"tV_mod_ln","single","Tetraodontidae"
2014,0.0386128550895043,0.0229608760980088,0.0386128550895043,NA,-0.006390462062593,0.0836161722416016,"tV_mod_ln","single","Tetraodontidae"
2015,0.101501408183608,0.0253912161876162,0.101501408183608,NA,0.0517346244558797,0.151268191911335,"tV_mod_ln","single","Tetraodontidae"
2016,0.108393550645463,0.0340495645764494,0.108393550645463,NA,0.0416564040756222,0.175130697215304,"tV_mod_ln","single","Tetraodontidae"
2017,0.356144044415523,0.106303790853779,0.356144044415523,NA,0.147788614342117,0.564499474488929,"tV_mod_ln","single","Tetraodontidae"
2018,0.0481755581003217,0.0221828720534036,0.0481755581003217,NA,0.0046971288756506,0.0916539873249929,"tV_mod_ln","single","Tetraodontidae"
2019,0.0571050455900293,0.0290268646966527,0.0571050455900293,NA,0.000212390784589928,0.113997700395469,"tV_mod_ln","single","Tetraodontidae"
2020,0.108558482603,0.0488329161158704,0.108558482603,NA,0.0128459670158945,0.204270998190106,"tV_mod_ln","single","Tetraodontidae"
2021,0.0215607494955256,0.0108305006794851,0.0215607494955256,NA,0.000332968163734928,0.0427885308273164,"tV_mod_ln","single","Tetraodontidae"
2022,0.016896715166645,0.0142325754915693,0.016896715166645,NA,-0.0109991327968308,0.0447925631301209,"tV_mod_ln","single","Tetraodontidae"
2023,0.0178043380569309,0.0154223359451256,0.0178043380569309,NA,-0.0124234403955154,0.0480321165093771,"tV_mod_ln","single","Tetraodontidae"
