"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,37.3235529498337,9.41249459699865,37.3235529498337,NA,18.8750635397163,55.772042359951,"tV_mod_ln","single","Thunnus albacares"
2014,50.6758345604327,21.4941690653852,50.6758345604327,NA,8.54726319227768,92.8044059285877,"tV_mod_ln","single","Thunnus albacares"
2015,34.3154423692403,5.50860218860265,34.3154423692403,NA,23.5185820795791,45.1123026589014,"tV_mod_ln","single","Thunnus albacares"
2016,34.51094721104,5.88843658767783,34.51094721104,NA,22.9696114991915,46.0522829228886,"tV_mod_ln","single","Thunnus albacares"
2017,27.0518459707775,6.68109836746429,27.0518459707775,NA,13.9568931705475,40.1467987710075,"tV_mod_ln","single","Thunnus albacares"
2018,12.4198770969726,5.11639279993781,12.4198770969726,NA,2.39174720909445,22.4480069848507,"tV_mod_ln","single","Thunnus albacares"
2019,21.0710435348483,6.55640127928318,21.0710435348483,NA,8.22049702745331,33.9215900422434,"tV_mod_ln","single","Thunnus albacares"
2020,17.5982501797873,5.4363931264237,17.5982501797873,NA,6.94291965199687,28.2535807075778,"tV_mod_ln","single","Thunnus albacares"
2021,10.2092522713105,3.43638831637675,10.2092522713105,NA,3.47393117121207,16.9445733714089,"tV_mod_ln","single","Thunnus albacares"
2022,40.2896588211452,14.0005444835948,40.2896588211452,NA,12.8485916332994,67.7307260089911,"tV_mod_ln","single","Thunnus albacares"
2023,25.3052892250235,7.36184759327989,25.3052892250235,NA,10.8760679421949,39.7345105078521,"tV_mod_ln","single","Thunnus albacares"
