"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,129.672950699376,54.2334707483848,129.672950699376,NA,23.3753480325418,235.97055336621,"tV_mod_ln","single","Thunnus obesus"
2014,32.3260855626288,12.1383131196926,32.3260855626288,NA,8.5349918480312,56.1171792772263,"tV_mod_ln","single","Thunnus obesus"
2015,25.5754218568257,5.00394636091414,25.5754218568257,NA,15.767686989434,35.3831567242175,"tV_mod_ln","single","Thunnus obesus"
2016,9.26415906483182,2.69203469534286,9.26415906483182,NA,3.98777106195982,14.5405470677038,"tV_mod_ln","single","Thunnus obesus"
2017,20.3775632638791,6.62281652993144,20.3775632638791,NA,7.39684286521347,33.3582836625447,"tV_mod_ln","single","Thunnus obesus"
2018,12.1440012076475,5.37514616971956,12.1440012076475,NA,1.60871471499713,22.6792877002978,"tV_mod_ln","single","Thunnus obesus"
2019,9.6938867138307,3.51821995553327,9.6938867138307,NA,2.79817560098548,16.5895978266759,"tV_mod_ln","single","Thunnus obesus"
2020,8.6451522081115,4.46329095452761,8.6451522081115,NA,-0.102898062762611,17.3932024789856,"tV_mod_ln","single","Thunnus obesus"
2021,10.2636707003117,8.77604388091718,10.2636707003117,NA,-6.93737530628595,27.4647167069094,"tV_mod_ln","single","Thunnus obesus"
2022,41.2687627821798,18.7183826193452,41.2687627821798,NA,4.58073284826322,77.9567927160964,"tV_mod_ln","single","Thunnus obesus"
2023,7.87853137625468,2.60528624922295,7.87853137625468,NA,2.7721703277777,12.9848924247317,"tV_mod_ln","single","Thunnus obesus"
