"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,14.9661284732665,2.36756620268918,14.9661284732665,NA,10.3256987159957,19.6065582305373,"tV_mod_ln","single","other Carcharhinidae"
2014,9.0462035102035,2.1519035042128,9.0462035102035,NA,4.8284726419464,13.2639343784606,"tV_mod_ln","single","other Carcharhinidae"
2015,4.92828353634419,1.2352441441059,4.92828353634419,NA,2.50720501389663,7.34936205879175,"tV_mod_ln","single","other Carcharhinidae"
2016,5.01922663467919,0.785733071484263,5.01922663467919,NA,3.47918981457004,6.55926345478835,"tV_mod_ln","single","other Carcharhinidae"
2017,3.24979755086493,0.776154183552981,3.24979755086493,NA,1.72853535110109,4.77105975062877,"tV_mod_ln","single","other Carcharhinidae"
2018,4.33511731156066,1.01374789286847,4.33511731156066,NA,2.34817144153847,6.32206318158286,"tV_mod_ln","single","other Carcharhinidae"
2019,1.683322456878,0.528391528567389,1.683322456878,NA,0.647675060885916,2.71896985287008,"tV_mod_ln","single","other Carcharhinidae"
2020,0.688726978902521,0.265475973344054,0.688726978902521,NA,0.168394071148175,1.20905988665687,"tV_mod_ln","single","other Carcharhinidae"
2021,5.48064859977481,1.20311093307532,5.48064859977481,NA,3.12255117094718,7.83874602860244,"tV_mod_ln","single","other Carcharhinidae"
2022,4.78262262664766,0.983196753035517,4.78262262664766,NA,2.85555699069805,6.70968826259727,"tV_mod_ln","single","other Carcharhinidae"
2023,1.82768744652209,0.449561550398524,1.82768744652209,NA,0.946546807740983,2.7088280853032,"tV_mod_ln","single","other Carcharhinidae"
