"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,9.15825738943759,1.99397058279932,9.15825738943759,NA,5.25007504715092,13.0664397317243,"tV_mod_tw","single","sea turtles"
2014,5.42266939012938,1.09794730733629,5.42266939012938,NA,3.27069266775026,7.5746461125085,"tV_mod_tw","single","sea turtles"
2015,10.6053360325154,0.934038505415444,10.6053360325154,NA,8.77462056190114,12.4360515031297,"tV_mod_tw","single","sea turtles"
2016,18.2260012376896,1.05418061937552,18.2260012376896,NA,16.1598072237135,20.2921952516656,"tV_mod_tw","single","sea turtles"
2017,25.0717737754024,1.56237172003272,25.0717737754024,NA,22.0095252041383,28.1340223466665,"tV_mod_tw","single","sea turtles"
2018,14.4295969243822,1.1141457812132,14.4295969243822,NA,12.2458711932043,16.61332265556,"tV_mod_tw","single","sea turtles"
2019,17.4260940940516,1.67693007459589,17.4260940940516,NA,14.1393111478437,20.7128770402596,"tV_mod_tw","single","sea turtles"
2020,23.1786319533344,2.22203292543979,23.1786319533344,NA,18.8234474194724,27.5338164871964,"tV_mod_tw","single","sea turtles"
2021,13.6035186376503,1.33815765639448,13.6035186376503,NA,10.9807296311171,16.2263076441835,"tV_mod_tw","single","sea turtles"
2022,12.8421925565593,0.978870142021964,12.8421925565593,NA,10.9236070781963,14.7607780349224,"tV_mod_tw","single","sea turtles"
2023,15.9723996832893,1.14981771032214,15.9723996832893,NA,13.718756971058,18.2260423955207,"tV_mod_tw","single","sea turtles"
