"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,2.7287555766828,0.588779615440944,2.7287555766828,NA,1.57474753041855,3.88276362294706,"single","Acanthocybium solandri"
2014,0.171390974536928,0.0571270027791331,0.171390974536928,NA,0.0594220490898267,0.283359899984028,"single","Acanthocybium solandri"
2015,0.219268772474713,0.0763249425341008,0.219268772474713,NA,0.0696718851078756,0.368865659841551,"single","Acanthocybium solandri"
2016,0.0682467520304012,0.0300407049178378,0.0682467520304012,NA,0.00936697039143912,0.127126533669363,"single","Acanthocybium solandri"
2017,0.0205365439303876,0.0100443311313709,0.0205365439303876,NA,0.000849654912900732,0.0402234329478745,"single","Acanthocybium solandri"
2018,0.0113211007635041,0.00157288245894843,0.0113211007635041,NA,0.00823825114396517,0.014403950383043,"single","Acanthocybium solandri"
2019,0.0740685293006682,0.0599895066435255,0.0740685293006682,NA,-0.0435109037206419,0.191647962321978,"single","Acanthocybium solandri"
2020,0.0156276743111378,0.0118465874215648,0.0156276743111378,NA,-0.0075916370351293,0.0388469856574048,"single","Acanthocybium solandri"
2021,0.0634075761222024,0.0425729252572543,0.0634075761222024,NA,-0.0200353573820161,0.146850509626421,"single","Acanthocybium solandri"
2022,0.300510594864773,0.264267144340348,0.300510594864773,NA,-0.217453008042309,0.818474197771854,"single","Acanthocybium solandri"
2023,0.0391353927674835,0.0280410607613763,0.0391353927674835,NA,-0.0158250863248141,0.094095871859781,"single","Acanthocybium solandri"
