"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,2.51721508496105,0.950284984096967,2.51721508496105,NA,0.654656516130991,4.3797736537911,"single","Canthidermis maculata"
2014,2.11535098799364,1.1944875641037,2.11535098799364,NA,-0.225844637649613,4.4565466136369,"single","Canthidermis maculata"
2015,0.303245080222215,0.122804850830604,0.303245080222215,NA,0.0625475725942313,0.543942587850198,"single","Canthidermis maculata"
2016,0.0916980723908171,0.037474874272223,0.0916980723908171,NA,0.0182473188172601,0.165148825964374,"single","Canthidermis maculata"
2017,0.0228152586211077,0.0156977611950819,0.0228152586211077,NA,-0.00795235332125293,0.0535828705634682,"single","Canthidermis maculata"
2018,0.0180491118754866,0.00796438854498077,0.0180491118754866,NA,0.0024389103273243,0.0336593134236489,"single","Canthidermis maculata"
2019,0.0336806700467229,0.0188199482288366,0.0336806700467229,NA,-0.00320642848179673,0.0705677685752426,"single","Canthidermis maculata"
2020,0.140751011330739,0.0630366181976457,0.140751011330739,NA,0.0171992396633531,0.264302782998124,"single","Canthidermis maculata"
2021,0.0857001732552549,0.0382569081723717,0.0857001732552549,NA,0.0107166332374065,0.160683713273103,"single","Canthidermis maculata"
2022,0.133476618938692,0.069000861548046,0.133476618938692,NA,-0.00176506969547865,0.268718307572862,"single","Canthidermis maculata"
2023,0.0397405021238988,0.0196482111781618,0.0397405021238988,NA,0.00123000821470173,0.0782509960330958,"single","Canthidermis maculata"
