"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,0.002488911372076,NA,0.002488911372076,NA,NA,NA,"single","Carangidae"
2014,0.012026567520967,NA,0.012026567520967,NA,NA,NA,"single","Carangidae"
2015,0.000131870601651218,NA,0.000131870601651218,NA,NA,NA,"single","Carangidae"
2016,0.352865826238258,NA,0.352865826238258,NA,NA,NA,"single","Carangidae"
2017,0.000930826872590677,NA,0.000930826872590677,NA,NA,NA,"single","Carangidae"
2018,0.00205906303612237,NA,0.00205906303612237,NA,NA,NA,"single","Carangidae"
2019,0.00122977346400165,NA,0.00122977346400165,NA,NA,NA,"single","Carangidae"
2020,0.00104580427043715,NA,0.00104580427043715,NA,NA,NA,"single","Carangidae"
2021,0.000715842329538503,NA,0.000715842329538503,NA,NA,NA,"single","Carangidae"
2022,0.000493714987642679,NA,0.000493714987642679,NA,NA,NA,"single","Carangidae"
2023,0.000358710611797166,NA,0.000358710611797166,NA,NA,NA,"single","Carangidae"
