"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,17.6523981173138,2.72660650535157,17.6523981173138,NA,12.3082493668247,22.9965468678029,"single","Caranx crysos"
2014,0.111037260255897,0.0555112365037384,0.111037260255897,NA,0.00223523670856995,0.219839283803224,"single","Caranx crysos"
2015,0.155476329306908,0.0606381160830343,0.155476329306908,NA,0.0366256217841612,0.274327036829656,"single","Caranx crysos"
2016,0.219169299877408,0.0813450773838115,0.219169299877408,NA,0.0597329482051372,0.378605651549678,"single","Caranx crysos"
2017,0.000418763726186869,0.000164980384412089,0.000418763726186869,NA,9.54021727391751e-05,0.000742125279634563,"single","Caranx crysos"
2018,0.000657183371689564,5.81520943738677e-05,0.000657183371689564,NA,0.000543205266716783,0.000771161476662345,"single","Caranx crysos"
2019,0.0965109199569515,0.0759876632389554,0.0965109199569515,NA,-0.0524248999914012,0.245446739905304,"single","Caranx crysos"
2020,0.0101275723480625,0.00797262926185855,0.0101275723480625,NA,-0.0054987810051803,0.0257539257013052,"single","Caranx crysos"
2021,0.0117316608379388,0.00910394839996827,0.0117316608379388,NA,-0.00611207802599897,0.0295753997018766,"single","Caranx crysos"
2022,0.155772713960472,0.0992082301577141,0.155772713960472,NA,-0.0386754171486481,0.350220845069591,"single","Caranx crysos"
2023,0.0147971344182951,0.0120856114197496,0.0147971344182951,NA,-0.00889066396441405,0.0384849328010043,"single","Caranx crysos"
