"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,0.994795984962019,0.357747545313348,0.994795984962019,NA,0.293610796147857,1.69598117377618,"single","Coryphaenidae"
2014,2.06068768546377,0.925000925763664,2.06068768546377,NA,0.247685870966986,3.87368949996055,"single","Coryphaenidae"
2015,0.11627095878213,0.0598161825258903,0.11627095878213,NA,-0.00096875896861523,0.233510676532875,"single","Coryphaenidae"
2016,0.587811916970917,0.161583384555286,0.587811916970917,NA,0.271108483242556,0.904515350699279,"single","Coryphaenidae"
2017,0.0632818208176841,0.0215036374976642,0.0632818208176841,NA,0.0211346913222622,0.105428950313106,"single","Coryphaenidae"
2018,0.088448325338354,0.0345377308911871,0.088448325338354,NA,0.0207543727916273,0.156142277885081,"single","Coryphaenidae"
2019,0.212768674864275,0.081938292147439,0.212768674864275,NA,0.0521696222552941,0.373367727473255,"single","Coryphaenidae"
2020,0.0450247222511772,0.0217832750764838,0.0450247222511772,NA,0.00232950310126899,0.0877199414010855,"single","Coryphaenidae"
2021,0.0829147956283977,0.0310243515190738,0.0829147956283977,NA,0.022107066651013,0.143722524605782,"single","Coryphaenidae"
2022,0.25628331631741,0.088711203292872,0.25628331631741,NA,0.0824093578633814,0.43015727477144,"single","Coryphaenidae"
2023,0.212291655330999,0.0709017773320769,0.212291655330999,NA,0.0733241717601286,0.35125913890187,"single","Coryphaenidae"
