"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,2.10717681807638,0.582445761743516,2.10717681807638,NA,0.965583125059088,3.24877051109367,"single","Elagatis bipinnulata"
2014,0.391600451190398,0.184354544014412,0.391600451190398,NA,0.0302655449221495,0.752935357458646,"single","Elagatis bipinnulata"
2015,0.296150972241399,0.0966878027247117,0.296150972241399,NA,0.106642878900964,0.485659065581834,"single","Elagatis bipinnulata"
2016,0.338860556763807,0.145495753162427,0.338860556763807,NA,0.0536888805654505,0.624032232962163,"single","Elagatis bipinnulata"
2017,0.0464116166280732,0.0174392783243165,0.0464116166280732,NA,0.0122306311124129,0.0805926021437335,"single","Elagatis bipinnulata"
2018,0.0548381114722006,0.0250477251962485,0.0548381114722006,NA,0.00574457008755343,0.103931652856848,"single","Elagatis bipinnulata"
2019,0.283838822469682,0.122040196927698,0.283838822469682,NA,0.0446400364913943,0.52303760844797,"single","Elagatis bipinnulata"
2020,0.035814510294762,0.0165976359776205,0.035814510294762,NA,0.00328314377862588,0.0683458768108981,"single","Elagatis bipinnulata"
2021,0.0369746756548758,0.0167224820922479,0.0369746756548758,NA,0.00419861075407002,0.0697507405556816,"single","Elagatis bipinnulata"
2022,0.210097242808958,0.103512428152463,0.210097242808958,NA,0.00721288363013162,0.412981601987785,"single","Elagatis bipinnulata"
2023,0.0521851533047734,0.0179533561059307,0.0521851533047734,NA,0.0169965753371492,0.0873737312723975,"single","Elagatis bipinnulata"
