"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,1.66338425539347,NA,1.66338425539347,NA,NA,NA,"single","Euthynnus alletteratus"
2014,1.81562697497375e-10,NA,1.81562697497375e-10,NA,NA,NA,"single","Euthynnus alletteratus"
2015,44.1332161477806,NA,44.1332161477806,NA,NA,NA,"single","Euthynnus alletteratus"
2016,6.65715042387295,NA,6.65715042387295,NA,NA,NA,"single","Euthynnus alletteratus"
2017,4.60401879141058,NA,4.60401879141058,NA,NA,NA,"single","Euthynnus alletteratus"
2018,8.68393472941452,NA,8.68393472941452,NA,NA,NA,"single","Euthynnus alletteratus"
2019,6.8066603470506,NA,6.8066603470506,NA,NA,NA,"single","Euthynnus alletteratus"
2020,1.10515261129296,NA,1.10515261129296,NA,NA,NA,"single","Euthynnus alletteratus"
2021,1.27861572709934e-08,NA,1.27861572709934e-08,NA,NA,NA,"single","Euthynnus alletteratus"
2022,1.02656073478095e-08,NA,1.02656073478095e-08,NA,NA,NA,"single","Euthynnus alletteratus"
2023,0.827364156270988,NA,0.827364156270988,NA,NA,NA,"single","Euthynnus alletteratus"
