"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,13.6351436973209,1.73831143727492,13.6351436973209,NA,10.2280532802621,17.0422341143798,"single","Istiophorus albicans"
2014,5.37646928697252,1.14434763643702,5.37646928697252,NA,3.13354791955597,7.61939065438907,"single","Istiophorus albicans"
2015,4.96097420646071,0.649749025977726,4.96097420646071,NA,3.68746611554436,6.23448229737705,"single","Istiophorus albicans"
2016,3.76768660487174,0.601656438064497,3.76768660487174,NA,2.58843998626533,4.94693322347816,"single","Istiophorus albicans"
2017,2.44314961192663,0.387217346339412,2.44314961192663,NA,1.68420361310138,3.20209561075188,"single","Istiophorus albicans"
2018,2.76662056412694,0.536502917761577,2.76662056412694,NA,1.71507484531425,3.81816628293963,"single","Istiophorus albicans"
2019,12.53728573271,1.19139163020237,12.53728573271,NA,10.2021581375133,14.8724133279066,"single","Istiophorus albicans"
2020,5.12002087839526,0.668112697356419,5.12002087839526,NA,3.81051999157668,6.42952176521384,"single","Istiophorus albicans"
2021,2.50164206710319,0.399335196796115,2.50164206710319,NA,1.7189450813828,3.28433905282357,"single","Istiophorus albicans"
2022,3.7492368001959,0.504754684095669,3.7492368001959,NA,2.75991761936839,4.73855598102341,"single","Istiophorus albicans"
2023,3.79238941754318,0.547964941422935,3.79238941754318,NA,2.71837813235423,4.86640070273214,"single","Istiophorus albicans"
