"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,30.4688849762622,NA,30.4688849762622,NA,NA,NA,"single","Katsuwonus pelamis"
2014,22.5167680433967,NA,22.5167680433967,NA,NA,NA,"single","Katsuwonus pelamis"
2015,9.44635909022172,NA,9.44635909022172,NA,NA,NA,"single","Katsuwonus pelamis"
2016,10.9868099432088,NA,10.9868099432088,NA,NA,NA,"single","Katsuwonus pelamis"
2017,2.06060389451299,NA,2.06060389451299,NA,NA,NA,"single","Katsuwonus pelamis"
2018,12.3036587029091,NA,12.3036587029091,NA,NA,NA,"single","Katsuwonus pelamis"
2019,1.69586562421447,NA,1.69586562421447,NA,NA,NA,"single","Katsuwonus pelamis"
2020,1.12788219185587,NA,1.12788219185587,NA,NA,NA,"single","Katsuwonus pelamis"
2021,0.855440474882984,NA,0.855440474882984,NA,NA,NA,"single","Katsuwonus pelamis"
2022,4.45008829518682e-06,NA,4.45008829518682e-06,NA,NA,NA,"single","Katsuwonus pelamis"
2023,1.94946181283005,NA,1.94946181283005,NA,NA,NA,"single","Katsuwonus pelamis"
