"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,0.189603855080556,NA,0.189603855080556,NA,NA,NA,"single","Lamnidae"
2014,1.95181616704101e-07,NA,1.95181616704101e-07,NA,NA,NA,"single","Lamnidae"
2015,0.41394442782488,NA,0.41394442782488,NA,NA,NA,"single","Lamnidae"
2016,1.04112852160912,NA,1.04112852160912,NA,NA,NA,"single","Lamnidae"
2017,0.224067057816282,NA,0.224067057816282,NA,NA,NA,"single","Lamnidae"
2018,0.399179234515875,NA,0.399179234515875,NA,NA,NA,"single","Lamnidae"
2019,0.615394933224166,NA,0.615394933224166,NA,NA,NA,"single","Lamnidae"
2020,0.462921217318369,NA,0.462921217318369,NA,NA,NA,"single","Lamnidae"
2021,0.217009928658201,NA,0.217009928658201,NA,NA,NA,"single","Lamnidae"
2022,0.207126122937517,NA,0.207126122937517,NA,NA,NA,"single","Lamnidae"
2023,0.411748402170069,NA,0.411748402170069,NA,NA,NA,"single","Lamnidae"
