"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,4.29237859251412,1.28273632133141,4.29237859251412,NA,1.77821540270457,6.80654178232368,"single","Makaira nigricans"
2014,2.64333532091415,1.38008662576424,2.64333532091415,NA,-0.0616344655837673,5.34830510741206,"single","Makaira nigricans"
2015,1.93583278092924,0.506351930693541,1.93583278092924,NA,0.943382996769899,2.92828256508858,"single","Makaira nigricans"
2016,2.21604072047376,0.503239566134695,2.21604072047376,NA,1.22969117084976,3.20239027009776,"single","Makaira nigricans"
2017,2.01173620396248,0.429581980980903,2.01173620396248,NA,1.16975552123991,2.85371688668505,"single","Makaira nigricans"
2018,2.78828395659139,0.555841673579423,2.78828395659139,NA,1.69883427637572,3.87773363680706,"single","Makaira nigricans"
2019,3.43684373842775,0.64094287968866,3.43684373842775,NA,2.18059569423797,4.69309178261752,"single","Makaira nigricans"
2020,1.63048482535874,0.383387035754139,1.63048482535874,NA,0.879046235280628,2.38192341543685,"single","Makaira nigricans"
2021,2.35539508467009,0.465284500119157,2.35539508467009,NA,1.44343746443654,3.26735270490364,"single","Makaira nigricans"
2022,1.69212848295271,0.328177700465554,1.69212848295271,NA,1.04890019004023,2.3353567758652,"single","Makaira nigricans"
2023,1.19321701261712,0.313657169425593,1.19321701261712,NA,0.578448960542961,1.80798506469128,"single","Makaira nigricans"
