"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,0.414372574403808,0.290852976277433,0.414372574403808,NA,-0.155699259099961,0.984444407907577,"single","Other billfishes"
2014,0.218336425835556,0.263482950021379,0.218336425835556,NA,-0.298090156206348,0.734763007877459,"single","Other billfishes"
2015,2.01024007425483,0.531850676758136,2.01024007425483,NA,0.967812747808888,3.05266740070078,"single","Other billfishes"
2016,0.448405294634251,0.200978422086241,0.448405294634251,NA,0.0544875873452195,0.842323001923283,"single","Other billfishes"
2017,0.0317375612862963,0.0269694993848374,0.0317375612862963,NA,-0.0211226575079851,0.0845977800805777,"single","Other billfishes"
2018,0.0323482182436851,0.0294706038428211,0.0323482182436851,NA,-0.0254141652882443,0.0901106017756145,"single","Other billfishes"
2019,0.018163790553712,0.0194870474988004,0.018163790553712,NA,-0.0200308225439368,0.0563584036513608,"single","Other billfishes"
2020,0.0157542406389874,0.0189648064112629,0.0157542406389874,NA,-0.0214167799270879,0.0529252612050626,"single","Other billfishes"
2021,0.110535648852843,0.0659226641557242,0.110535648852843,NA,-0.0186727728923769,0.239744070598062,"single","Other billfishes"
2022,1.04602530174369e-07,3.9877797532736e-06,1.04602530174369e-07,NA,-7.71144578624189e-06,7.92065084659063e-06,"single","Other billfishes"
2023,0.0228990152846633,0.0245575328359762,0.0228990152846633,NA,-0.02523374907385,0.0710317796431766,"single","Other billfishes"
