"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,1.60462098936037,0.51331135219133,1.60462098936037,NA,0.598530739065361,2.61071123965537,"single","Thunnus albacares"
2014,15.8728424900122,9.99591604287234,15.8728424900122,NA,-3.71915295401761,35.464837934042,"single","Thunnus albacares"
2015,3.76508791593111,1.60202058904268,3.76508791593111,NA,0.625127561407464,6.90504827045476,"single","Thunnus albacares"
2016,6.85258326953114,3.14738016223256,6.85258326953114,NA,0.683718151555323,13.021448387507,"single","Thunnus albacares"
2017,1.53825872872229,0.677224307020127,1.53825872872229,NA,0.210899086962837,2.86561837048173,"single","Thunnus albacares"
2018,2.24770724097066,0.870303008503903,2.24770724097066,NA,0.54191334430301,3.95350113763831,"single","Thunnus albacares"
2019,3.85445140942902,1.22895658259449,3.85445140942902,NA,1.44569650754382,6.26320631131422,"single","Thunnus albacares"
2020,2.99580808115931,1.21284566980122,2.99580808115931,NA,0.618630568348916,5.37298559396971,"single","Thunnus albacares"
2021,0.387708508695528,0.182196688115192,0.387708508695528,NA,0.0306029999897524,0.744814017401304,"single","Thunnus albacares"
2022,14.3394588313059,10.0515147376705,14.3394588313059,NA,-5.36151005452829,34.0404277171401,"single","Thunnus albacares"
2023,1.77809887842627,0.535861938654383,1.77809887842627,NA,0.727809478663683,2.82838827818886,"single","Thunnus albacares"
