"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,0.591009396951643,0.529354328120123,0.591009396951643,NA,-0.446525086163798,1.62854388006708,"single","Xiphias gladius"
2014,1.75455873254539,1.33234995004192,1.75455873254539,NA,-0.85684716953678,4.36596463462756,"single","Xiphias gladius"
2015,0.794149807583691,0.425474338054184,0.794149807583691,NA,-0.0397798950025096,1.62807951016989,"single","Xiphias gladius"
2016,0.00322885087554187,0.0192089280453877,0.00322885087554187,NA,-0.0344206480934181,0.0408783498445018,"single","Xiphias gladius"
2017,0.0936110394998364,0.0873534554536476,0.0936110394998364,NA,-0.077601733189313,0.264823812188986,"single","Xiphias gladius"
2018,0.121940260806017,0.113774148580891,0.121940260806017,NA,-0.10105707041253,0.344937592024564,"single","Xiphias gladius"
2019,0.177047038416008,0.135032459727961,0.177047038416008,NA,-0.0876165826507957,0.441710659482811,"single","Xiphias gladius"
2020,0.0965257629528833,0.100459494007164,0.0965257629528833,NA,-0.100374845301158,0.293426371206925,"single","Xiphias gladius"
2021,0.00183282281946176,0.00992337414812258,0.00183282281946176,NA,-0.0176169905108585,0.021282636149782,"single","Xiphias gladius"
2022,0.00126903165647882,0.00462147429259564,0.00126903165647882,NA,-0.00778905795700862,0.0103271212699663,"single","Xiphias gladius"
2023,0.0478843429757336,0.0680032220514,0.0478843429757336,NA,-0.0854019722450104,0.181170658196478,"single","Xiphias gladius"
