"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,1.62371756818655,0.573180148440154,1.62371756818655,NA,0.50028447724385,2.74715065912925,"single","sea turtles"
2014,1.02802900352006,0.473971633435207,1.02802900352006,NA,0.09904460198705,1.95701340505306,"single","sea turtles"
2015,1.79327645986774,0.426942912991263,1.79327645986774,NA,0.956468350404864,2.63008456933062,"single","sea turtles"
2016,3.45680533138495,0.652820178690035,3.45680533138495,NA,2.17727778115248,4.73633288161742,"single","sea turtles"
2017,1.53189085782489,0.334257440782125,1.53189085782489,NA,0.876746273891923,2.18703544175785,"single","sea turtles"
2018,4.38684367431353,0.736637229501527,4.38684367431353,NA,2.94303470449053,5.83065264413652,"single","sea turtles"
2019,3.99152902597765,0.725861604982305,3.99152902597765,NA,2.56884028021233,5.41421777174297,"single","sea turtles"
2020,3.11778413778028,0.504554024074209,3.11778413778028,NA,2.12885825059483,4.10671002496573,"single","sea turtles"
2021,2.0051960942562,0.372939332473309,2.0051960942562,NA,1.27423500260851,2.73615718590388,"single","sea turtles"
2022,1.68547179384548,0.315906003572491,1.68547179384548,NA,1.0662960268434,2.30464756084756,"single","sea turtles"
2023,3.05663327106641,0.451441921933962,3.05663327106641,NA,2.17180710407584,3.94145943805697,"single","sea turtles"
