"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-1.68,0.84,"0.05",1,"A. solandri",TRUE,1
"fyear2014",-1.61,0.85,"0.06",1,"A. solandri",TRUE,1
"fyear2015",-2.11,0.84,"0.01",1,"A. solandri",TRUE,1
"fyear2016",-2.34,0.84,"<0.01",1,"A. solandri",TRUE,1
"fyear2017",-2.33,0.84,"<0.01",1,"A. solandri",TRUE,1
"fyear2018",-2.25,0.84,"<0.01",1,"A. solandri",TRUE,1
"fyear2019",-2.57,0.84,"<0.01",1,"A. solandri",TRUE,1
"fyear2020",-2.29,0.84,"<0.01",1,"A. solandri",TRUE,1
"fyear2021",-2.31,0.84,"<0.01",1,"A. solandri",TRUE,1
"fyear2022",-2.43,0.84,"<0.01",1,"A. solandri",TRUE,1
"fyear2023",-2.51,0.85,"<0.01",1,"A. solandri",TRUE,1
"quarter2",-0.08,0.05,"0.1",1,"A. solandri",TRUE,1
"quarter3",-0.17,0.06,"<0.01",1,"A. solandri",TRUE,1
"quarter4",0.21,0.05,"<0.01",1,"A. solandri",TRUE,1
"trop_catch",0,0,"<0.01",1,"A. solandri",TRUE,1
"sst",0.08,0.01,"<0.01",1,"A. solandri",TRUE,1
"fyear2013",0.71,0.35,"0.04",2,"A. solandri",TRUE,1
"fyear2014",0.83,0.34,"0.02",2,"A. solandri",TRUE,1
"fyear2015",0.92,0.34,"<0.01",2,"A. solandri",TRUE,1
"fyear2016",0.99,0.34,"<0.01",2,"A. solandri",TRUE,1
"fyear2017",0.93,0.34,"<0.01",2,"A. solandri",TRUE,1
"fyear2018",0.88,0.34,"0.01",2,"A. solandri",TRUE,1
"fyear2019",0.97,0.35,"<0.01",2,"A. solandri",TRUE,1
"fyear2020",1.06,0.35,"<0.01",2,"A. solandri",TRUE,1
"fyear2021",1.03,0.35,"<0.01",2,"A. solandri",TRUE,1
"fyear2022",1.05,0.35,"<0.01",2,"A. solandri",TRUE,1
"fyear2023",1.18,0.36,"<0.01",2,"A. solandri",TRUE,1
"quarter2",0.07,0.04,"0.07",2,"A. solandri",TRUE,1
"quarter3",-0.22,0.05,"<0.01",2,"A. solandri",TRUE,1
"quarter4",-0.01,0.04,"0.81",2,"A. solandri",TRUE,1
"sst",-0.13,0.01,"<0.01",2,"A. solandri",TRUE,1
