"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-13.45,1.73,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2014",-12.07,1.69,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2015",-11.66,1.72,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2016",-12.52,1.73,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2017",-12.11,1.71,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2018",-12.7,1.72,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2019",-13.31,1.74,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2020",-12.52,1.74,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2021",-13.14,1.75,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2022",-13.25,1.74,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2023",-13.93,1.77,"<0.01",1,"Aluterus spp.",TRUE,1
"quarter2",-1.33,0.19,"<0.01",1,"Aluterus spp.",TRUE,1
"quarter3",0.29,0.23,"0.22",1,"Aluterus spp.",TRUE,1
"quarter4",1.4,0.14,"<0.01",1,"Aluterus spp.",TRUE,1
"sst",0.27,0.06,"<0.01",1,"Aluterus spp.",TRUE,1
"fyear2013",-10.48,1.68,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2014",-10.25,1.61,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2015",-10.14,1.61,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2016",-10.49,1.62,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2017",-9.94,1.61,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2018",-10.4,1.62,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2019",-10.81,1.63,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2020",-10.16,1.64,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2021",-10.78,1.64,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2022",-10.64,1.64,"<0.01",2,"Aluterus spp.",TRUE,1
"fyear2023",-10.14,1.68,"<0.01",2,"Aluterus spp.",TRUE,1
"quarter2",0.03,0.22,"0.88",2,"Aluterus spp.",TRUE,1
"quarter3",0.29,0.24,"0.24",2,"Aluterus spp.",TRUE,1
"quarter4",0.49,0.16,"<0.01",2,"Aluterus spp.",TRUE,1
"trop_catch",-0.01,0,"<0.01",2,"Aluterus spp.",TRUE,1
"sst",0.17,0.06,"<0.01",2,"Aluterus spp.",TRUE,1
