"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-0.27,0.68,"0.69",1,"Auxis spp.",TRUE,1
"fyear2014",0.12,0.68,"0.86",1,"Auxis spp.",TRUE,1
"fyear2015",0.52,0.66,"0.43",1,"Auxis spp.",TRUE,1
"fyear2016",0,0.67,"1",1,"Auxis spp.",TRUE,1
"fyear2017",-0.68,0.67,"0.31",1,"Auxis spp.",TRUE,1
"fyear2018",-0.89,0.67,"0.18",1,"Auxis spp.",TRUE,1
"fyear2019",-1.09,0.68,"0.11",1,"Auxis spp.",TRUE,1
"fyear2020",-1.26,0.68,"0.06",1,"Auxis spp.",TRUE,1
"fyear2021",-1.23,0.68,"0.07",1,"Auxis spp.",TRUE,1
"fyear2022",-1.72,0.69,"0.01",1,"Auxis spp.",TRUE,1
"fyear2023",-1.14,0.69,"0.1",1,"Auxis spp.",TRUE,1
"quarter2",0.28,0.11,"0.01",1,"Auxis spp.",TRUE,1
"quarter3",0.21,0.12,"0.09",1,"Auxis spp.",TRUE,1
"quarter4",0.39,0.11,"<0.01",1,"Auxis spp.",TRUE,1
"trop_catch",0,0,"0.02",1,"Auxis spp.",TRUE,1
"sst",-0.12,0.02,"<0.01",1,"Auxis spp.",TRUE,1
"fyear2013",-1.68,0.42,"<0.01",2,"Auxis spp.",TRUE,1
"fyear2014",-1.43,0.43,"<0.01",2,"Auxis spp.",TRUE,1
"fyear2015",-1.3,0.31,"<0.01",2,"Auxis spp.",TRUE,1
"fyear2016",-0.68,0.31,"0.03",2,"Auxis spp.",TRUE,1
"fyear2017",-0.33,0.33,"0.31",2,"Auxis spp.",TRUE,1
"fyear2018",0.29,0.36,"0.42",2,"Auxis spp.",TRUE,1
"fyear2019",-0.95,0.37,"0.01",2,"Auxis spp.",TRUE,1
"fyear2020",-0.3,0.42,"0.47",2,"Auxis spp.",TRUE,1
"fyear2021",-0.96,0.42,"0.02",2,"Auxis spp.",TRUE,1
"fyear2022",0.34,0.46,"0.47",2,"Auxis spp.",TRUE,1
"fyear2023",-1.68,0.39,"<0.01",2,"Auxis spp.",TRUE,1
"quarter2",0.62,0.19,"<0.01",2,"Auxis spp.",TRUE,1
"quarter3",1.14,0.2,"<0.01",2,"Auxis spp.",TRUE,1
"quarter4",1.17,0.19,"<0.01",2,"Auxis spp.",TRUE,1
"trop_catch",0,0,"<0.01",2,"Auxis spp.",TRUE,1
