"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-3.04,0.44,"<0.01",1,"Balistidae",TRUE,1
"fyear2014",-3.08,0.47,"<0.01",1,"Balistidae",TRUE,1
"fyear2015",-2.59,0.43,"<0.01",1,"Balistidae",TRUE,1
"fyear2016",-2.75,0.42,"<0.01",1,"Balistidae",TRUE,1
"fyear2017",-2.76,0.42,"<0.01",1,"Balistidae",TRUE,1
"fyear2018",-3.17,0.42,"<0.01",1,"Balistidae",TRUE,1
"fyear2019",-3.3,0.43,"<0.01",1,"Balistidae",TRUE,1
"fyear2020",-3.37,0.43,"<0.01",1,"Balistidae",TRUE,1
"fyear2021",-3.3,0.43,"<0.01",1,"Balistidae",TRUE,1
"fyear2022",-3.35,0.43,"<0.01",1,"Balistidae",TRUE,1
"fyear2023",-3.1,0.43,"<0.01",1,"Balistidae",TRUE,1
"quarter2",-0.06,0.09,"0.49",1,"Balistidae",TRUE,1
"quarter3",-0.21,0.1,"0.04",1,"Balistidae",TRUE,1
"quarter4",-0.21,0.08,"0.01",1,"Balistidae",TRUE,1
"trop_catch",0,0,"0.06",1,"Balistidae",TRUE,1
"fyear2013",-7.8,0.75,"<0.01",2,"Balistidae",TRUE,1
"fyear2014",-7.64,0.76,"<0.01",2,"Balistidae",TRUE,1
"fyear2015",-7.55,0.74,"<0.01",2,"Balistidae",TRUE,1
"fyear2016",-7.63,0.74,"<0.01",2,"Balistidae",TRUE,1
"fyear2017",-7.88,0.74,"<0.01",2,"Balistidae",TRUE,1
"fyear2018",-7.85,0.74,"<0.01",2,"Balistidae",TRUE,1
"fyear2019",-7.91,0.75,"<0.01",2,"Balistidae",TRUE,1
"fyear2020",-7.7,0.75,"<0.01",2,"Balistidae",TRUE,1
"fyear2021",-7.48,0.75,"<0.01",2,"Balistidae",TRUE,1
"fyear2022",-7.48,0.75,"<0.01",2,"Balistidae",TRUE,1
"fyear2023",-6.83,0.78,"<0.01",2,"Balistidae",TRUE,1
"quarter2",-0.17,0.1,"0.1",2,"Balistidae",TRUE,1
"quarter3",-0.28,0.13,"0.03",2,"Balistidae",TRUE,1
"quarter4",-0.41,0.1,"<0.01",2,"Balistidae",TRUE,1
"sst",0.06,0.03,"0.02",2,"Balistidae",TRUE,1
