"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-0.81,2.28,"0.72",1,"Bramidae",TRUE,2
"fyear2015",-1.11,2.07,"0.59",1,"Bramidae",TRUE,2
"fyear2016",-0.38,2.08,"0.85",1,"Bramidae",TRUE,2
"fyear2017",-0.2,2.05,"0.92",1,"Bramidae",TRUE,2
"fyear2018",-0.4,2.06,"0.84",1,"Bramidae",TRUE,2
"fyear2019",-0.18,2.06,"0.93",1,"Bramidae",TRUE,2
"fyear2020",-0.7,2.1,"0.74",1,"Bramidae",TRUE,2
"fyear2021",-2.2,2.31,"0.34",1,"Bramidae",TRUE,2
"fyear2022",-1.57,2.2,"0.48",1,"Bramidae",TRUE,2
"fyear2023",-0.96,2.19,"0.66",1,"Bramidae",TRUE,2
"quarter2",-0.24,0.4,"0.55",1,"Bramidae",TRUE,2
"quarter3",0.28,0.43,"0.51",1,"Bramidae",TRUE,2
"quarter4",-1.03,0.46,"0.03",1,"Bramidae",TRUE,2
"sst",-0.21,0.07,"<0.01",1,"Bramidae",TRUE,2
"fyear2013",-6.16,1.46,"<0.01",2,"Bramidae",TRUE,2
"fyear2015",-5.08,0.76,"<0.01",2,"Bramidae",TRUE,2
"fyear2016",-5.53,0.56,"<0.01",2,"Bramidae",TRUE,2
"fyear2017",-5.88,0.55,"<0.01",2,"Bramidae",TRUE,2
"fyear2018",-6.23,0.59,"<0.01",2,"Bramidae",TRUE,2
"fyear2019",-5.71,0.52,"<0.01",2,"Bramidae",TRUE,2
"fyear2020",-6.69,0.66,"<0.01",2,"Bramidae",TRUE,2
"fyear2021",-6.39,1.56,"<0.01",2,"Bramidae",TRUE,2
"fyear2022",-6.13,1.05,"<0.01",2,"Bramidae",TRUE,2
"fyear2023",-5.45,0.93,"<0.01",2,"Bramidae",TRUE,2
