"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-4.55,0.89,"<0.01",1,"C. crysos",TRUE,1
"fyear2014",-4.97,0.89,"<0.01",1,"C. crysos",TRUE,1
"fyear2015",-4.17,0.88,"<0.01",1,"C. crysos",TRUE,1
"fyear2016",-4.2,0.88,"<0.01",1,"C. crysos",TRUE,1
"fyear2017",-4.25,0.88,"<0.01",1,"C. crysos",TRUE,1
"fyear2018",-4.38,0.88,"<0.01",1,"C. crysos",TRUE,1
"fyear2019",-4.59,0.89,"<0.01",1,"C. crysos",TRUE,1
"fyear2020",-4.54,0.89,"<0.01",1,"C. crysos",TRUE,1
"fyear2021",-4.5,0.89,"<0.01",1,"C. crysos",TRUE,1
"fyear2022",-4.73,0.89,"<0.01",1,"C. crysos",TRUE,1
"fyear2023",-4.89,0.89,"<0.01",1,"C. crysos",TRUE,1
"quarter2",0.03,0.05,"0.5",1,"C. crysos",TRUE,1
"quarter3",0.07,0.07,"0.28",1,"C. crysos",TRUE,1
"quarter4",0.11,0.05,"0.03",1,"C. crysos",TRUE,1
"sst",0.16,0.01,"<0.01",1,"C. crysos",TRUE,1
"fyear2013",-0.07,0.44,"0.87",2,"C. crysos",TRUE,1
"fyear2014",-0.78,0.44,"0.08",2,"C. crysos",TRUE,1
"fyear2015",-1.53,0.42,"<0.01",2,"C. crysos",TRUE,1
"fyear2016",-1.15,0.42,"<0.01",2,"C. crysos",TRUE,1
"fyear2017",-1.54,0.42,"<0.01",2,"C. crysos",TRUE,1
"fyear2018",-1.79,0.42,"<0.01",2,"C. crysos",TRUE,1
"fyear2019",-1.42,0.42,"<0.01",2,"C. crysos",TRUE,1
"fyear2020",-1.41,0.42,"<0.01",2,"C. crysos",TRUE,1
"fyear2021",-1.75,0.42,"<0.01",2,"C. crysos",TRUE,1
"fyear2022",-1.85,0.43,"<0.01",2,"C. crysos",TRUE,1
"fyear2023",-1.48,0.44,"<0.01",2,"C. crysos",TRUE,1
"quarter2",0.14,0.05,"<0.01",2,"C. crysos",TRUE,1
"quarter3",-0.13,0.06,"0.02",2,"C. crysos",TRUE,1
"quarter4",-0.08,0.04,"0.05",2,"C. crysos",TRUE,1
"trop_catch",0,0,"<0.01",2,"C. crysos",TRUE,1
"sst",-0.03,0.01,"<0.01",2,"C. crysos",TRUE,1
