"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-2.51,1.18,"0.03",1,"C. falciformis",TRUE,1
"fyear2014",-1.79,1.18,"0.13",1,"C. falciformis",TRUE,1
"fyear2015",-2.05,1.18,"0.08",1,"C. falciformis",TRUE,1
"fyear2016",-1.61,1.17,"0.17",1,"C. falciformis",TRUE,1
"fyear2017",-1.26,1.17,"0.29",1,"C. falciformis",TRUE,1
"fyear2018",-1.35,1.17,"0.25",1,"C. falciformis",TRUE,1
"fyear2019",-0.96,1.17,"0.41",1,"C. falciformis",TRUE,1
"fyear2020",-1.17,1.18,"0.32",1,"C. falciformis",TRUE,1
"fyear2021",-1.1,1.18,"0.35",1,"C. falciformis",TRUE,1
"fyear2022",-0.95,1.18,"0.42",1,"C. falciformis",TRUE,1
"fyear2023",-0.99,1.18,"0.4",1,"C. falciformis",TRUE,1
"quarter2",0.09,0.05,"0.06",1,"C. falciformis",TRUE,1
"quarter3",0.38,0.06,"<0.01",1,"C. falciformis",TRUE,1
"quarter4",0.02,0.05,"0.63",1,"C. falciformis",TRUE,1
"trop_catch",0.01,0,"<0.01",1,"C. falciformis",TRUE,1
"fyear2013",-3.02,0.23,"<0.01",2,"C. falciformis",TRUE,1
"fyear2014",-3.5,0.22,"<0.01",2,"C. falciformis",TRUE,1
"fyear2015",-3.37,0.2,"<0.01",2,"C. falciformis",TRUE,1
"fyear2016",-2.95,0.19,"<0.01",2,"C. falciformis",TRUE,1
"fyear2017",-3.04,0.19,"<0.01",2,"C. falciformis",TRUE,1
"fyear2018",-2.87,0.19,"<0.01",2,"C. falciformis",TRUE,1
"fyear2019",-2.77,0.19,"<0.01",2,"C. falciformis",TRUE,1
"fyear2020",-2.6,0.19,"<0.01",2,"C. falciformis",TRUE,1
"fyear2021",-2.42,0.19,"<0.01",2,"C. falciformis",TRUE,1
"fyear2022",-2.58,0.19,"<0.01",2,"C. falciformis",TRUE,1
"fyear2023",-2.52,0.2,"<0.01",2,"C. falciformis",TRUE,1
"quarter2",0.07,0.04,"0.06",2,"C. falciformis",TRUE,1
"quarter3",0.1,0.04,"0.02",2,"C. falciformis",TRUE,1
"quarter4",0.19,0.04,"<0.01",2,"C. falciformis",TRUE,1
"trop_catch",0.01,0,"<0.01",2,"C. falciformis",TRUE,1
