"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-7.22,0.69,"<0.01",1,"C. maculata",TRUE,1
"fyear2014",-7.6,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2015",-7.51,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2016",-7.68,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2017",-7.79,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2018",-7.76,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2019",-7.82,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2020",-7.86,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2021",-7.78,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2022",-8.03,0.68,"<0.01",1,"C. maculata",TRUE,1
"fyear2023",-8.2,0.69,"<0.01",1,"C. maculata",TRUE,1
"quarter2",0.04,0.05,"0.45",1,"C. maculata",TRUE,1
"quarter3",0.39,0.06,"<0.01",1,"C. maculata",TRUE,1
"quarter4",0.35,0.05,"<0.01",1,"C. maculata",TRUE,1
"sst",0.27,0.01,"<0.01",1,"C. maculata",TRUE,1
"fyear2013",-4.11,0.37,"<0.01",2,"C. maculata",TRUE,1
"fyear2014",-4.56,0.36,"<0.01",2,"C. maculata",TRUE,1
"fyear2015",-4.49,0.36,"<0.01",2,"C. maculata",TRUE,1
"fyear2016",-4.43,0.36,"<0.01",2,"C. maculata",TRUE,1
"fyear2017",-4.8,0.36,"<0.01",2,"C. maculata",TRUE,1
"fyear2018",-4.78,0.36,"<0.01",2,"C. maculata",TRUE,1
"fyear2019",-4.49,0.36,"<0.01",2,"C. maculata",TRUE,1
"fyear2020",-4.47,0.36,"<0.01",2,"C. maculata",TRUE,1
"fyear2021",-4.4,0.36,"<0.01",2,"C. maculata",TRUE,1
"fyear2022",-4.47,0.37,"<0.01",2,"C. maculata",TRUE,1
"fyear2023",-4.24,0.37,"<0.01",2,"C. maculata",TRUE,1
"quarter2",0.12,0.04,"<0.01",2,"C. maculata",TRUE,1
"quarter3",0.07,0.05,"0.2",2,"C. maculata",TRUE,1
"quarter4",0.19,0.04,"<0.01",2,"C. maculata",TRUE,1
"trop_catch",0,0,"<0.01",2,"C. maculata",TRUE,1
"sst",0.06,0.01,"<0.01",2,"C. maculata",TRUE,1
