"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",1.78,1.02,"0.08",1,"Carangidae",TRUE,1
"fyear2014",2.62,1,"<0.01",1,"Carangidae",TRUE,1
"fyear2015",1.46,1,"0.14",1,"Carangidae",TRUE,1
"fyear2016",0.78,1.01,"0.44",1,"Carangidae",TRUE,1
"fyear2017",0.92,1.01,"0.37",1,"Carangidae",TRUE,1
"fyear2018",1.06,1,"0.29",1,"Carangidae",TRUE,1
"fyear2019",0.53,1.02,"0.6",1,"Carangidae",TRUE,1
"fyear2020",0.09,1.04,"0.93",1,"Carangidae",TRUE,1
"fyear2021",-0.21,1.06,"0.84",1,"Carangidae",TRUE,1
"fyear2022",-0.33,1.05,"0.75",1,"Carangidae",TRUE,1
"fyear2023",-0.45,1.08,"0.68",1,"Carangidae",TRUE,1
"quarter2",-0.98,0.17,"<0.01",1,"Carangidae",TRUE,1
"quarter3",-1.29,0.19,"<0.01",1,"Carangidae",TRUE,1
"quarter4",-0.78,0.14,"<0.01",1,"Carangidae",TRUE,1
"sst",-0.16,0.04,"<0.01",1,"Carangidae",TRUE,1
"fyear2013",-4.49,0.58,"<0.01",2,"Carangidae",TRUE,1
"fyear2014",-3.94,0.53,"<0.01",2,"Carangidae",TRUE,1
"fyear2015",-4.28,0.45,"<0.01",2,"Carangidae",TRUE,1
"fyear2016",-5.62,0.47,"<0.01",2,"Carangidae",TRUE,1
"fyear2017",-6.26,0.5,"<0.01",2,"Carangidae",TRUE,1
"fyear2018",-6.01,0.48,"<0.01",2,"Carangidae",TRUE,1
"fyear2019",-5.33,0.6,"<0.01",2,"Carangidae",TRUE,1
"fyear2020",-4.15,0.62,"<0.01",2,"Carangidae",TRUE,1
"fyear2021",-5.83,0.63,"<0.01",2,"Carangidae",TRUE,1
"fyear2022",-5.62,0.62,"<0.01",2,"Carangidae",TRUE,1
"fyear2023",-4.48,0.67,"<0.01",2,"Carangidae",TRUE,1
"quarter2",-0.03,0.24,"0.9",2,"Carangidae",TRUE,1
"quarter3",-0.01,0.3,"0.98",2,"Carangidae",TRUE,1
"quarter4",0.8,0.28,"<0.01",2,"Carangidae",TRUE,1
"trop_catch",0,0,"<0.01",2,"Carangidae",TRUE,1
