"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-1.72,0.2,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2014",-2.66,0.25,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2015",-4.22,0.23,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2016",-3.75,0.21,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2017",-4.77,0.23,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2018",-4.55,0.23,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2019",-4.99,0.25,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2020",-5.14,0.28,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2021",-4.16,0.24,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2022",-4.16,0.24,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2023",-4.74,0.26,"<0.01",1,"Carcharhinidae",TRUE,1
"quarter2",-0.13,0.15,"0.41",1,"Carcharhinidae",TRUE,1
"quarter3",0.42,0.16,"0.01",1,"Carcharhinidae",TRUE,1
"quarter4",-0.13,0.15,"0.36",1,"Carcharhinidae",TRUE,1
"trop_catch",0,0,"<0.01",1,"Carcharhinidae",TRUE,1
"fyear2013",-3.15,0.23,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2014",-2.77,0.28,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2015",-2.81,0.25,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2016",-2.39,0.22,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2017",-2.45,0.26,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2018",-2.04,0.24,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2019",-2.78,0.28,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2020",-2.32,0.36,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2021",-2.18,0.24,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2022",-2.26,0.27,"<0.01",2,"Carcharhinidae",TRUE,1
"fyear2023",-2.68,0.32,"<0.01",2,"Carcharhinidae",TRUE,1
