"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",0.01,0.81,"0.99",1,"Chelonioidea",TRUE,2
"fyear2014",-0.4,0.81,"0.62",1,"Chelonioidea",TRUE,2
"fyear2015",-0.19,0.79,"0.81",1,"Chelonioidea",TRUE,2
"fyear2016",0.22,0.79,"0.78",1,"Chelonioidea",TRUE,2
"fyear2017",0.05,0.79,"0.95",1,"Chelonioidea",TRUE,2
"fyear2018",0.31,0.79,"0.7",1,"Chelonioidea",TRUE,2
"fyear2019",0.06,0.79,"0.94",1,"Chelonioidea",TRUE,2
"fyear2020",0.25,0.79,"0.75",1,"Chelonioidea",TRUE,2
"fyear2021",0.12,0.79,"0.88",1,"Chelonioidea",TRUE,2
"fyear2022",0.43,0.79,"0.59",1,"Chelonioidea",TRUE,2
"fyear2023",0.32,0.8,"0.69",1,"Chelonioidea",TRUE,2
"sst",-0.13,0.01,"<0.01",1,"Chelonioidea",TRUE,2
"fyear2013",-3.18,0.2,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2014",-3.38,0.21,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2015",-2.86,0.18,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2016",-2.78,0.17,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2017",-2.89,0.17,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2018",-2.95,0.17,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2019",-2.9,0.18,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2020",-2.85,0.17,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2021",-2.8,0.18,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2022",-2.87,0.18,"<0.01",2,"Chelonioidea",TRUE,2
"fyear2023",-2.87,0.18,"<0.01",2,"Chelonioidea",TRUE,2
