"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-1.54,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2014",-1.25,0.36,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2015",-1.76,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2016",-2.18,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2017",-2.06,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2018",-2.07,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2019",-2.43,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2020",-2.71,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2021",-2.35,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2022",-2.39,0.35,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2023",-2.74,0.36,"<0.01",1,"Coryphaenidae",TRUE,1
"quarter2",-0.53,0.05,"<0.01",1,"Coryphaenidae",TRUE,1
"quarter3",0.52,0.06,"<0.01",1,"Coryphaenidae",TRUE,1
"quarter4",0.8,0.05,"<0.01",1,"Coryphaenidae",TRUE,1
"sst",0.07,0.01,"<0.01",1,"Coryphaenidae",TRUE,1
"fyear2013",-2.85,0.15,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2014",-2.5,0.14,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2015",-2.65,0.13,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2016",-2.78,0.13,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2017",-2.93,0.13,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2018",-3.03,0.13,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2019",-2.98,0.13,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2020",-3,0.14,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2021",-2.93,0.13,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2022",-2.91,0.13,"<0.01",2,"Coryphaenidae",TRUE,1
"fyear2023",-2.95,0.14,"<0.01",2,"Coryphaenidae",TRUE,1
"quarter2",-0.28,0.04,"<0.01",2,"Coryphaenidae",TRUE,1
"quarter3",0.13,0.04,"<0.01",2,"Coryphaenidae",TRUE,1
"quarter4",0.32,0.03,"<0.01",2,"Coryphaenidae",TRUE,1
