"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-6.5,1.58,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2014",-6.18,1.59,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2015",-5.34,1.55,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2016",-6.08,1.55,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2017",-6.93,1.56,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2018",-6.16,1.55,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2019",-7.07,1.56,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2020",-7.15,1.56,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2021",-7.88,1.58,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2022",-7.72,1.58,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2023",-8.37,1.58,"<0.01",1,"E. alletteratus",TRUE,1
"trop_catch",-0.01,0,"<0.01",1,"E. alletteratus",TRUE,1
"fyear2013",-0.57,0.63,"0.36",2,"E. alletteratus",TRUE,1
"fyear2014",1.84,0.76,"0.02",2,"E. alletteratus",TRUE,1
"fyear2015",1.23,0.37,"<0.01",2,"E. alletteratus",TRUE,1
"fyear2016",1.12,0.36,"<0.01",2,"E. alletteratus",TRUE,1
"fyear2017",1.29,0.46,"<0.01",2,"E. alletteratus",TRUE,1
"fyear2018",2.2,0.43,"<0.01",2,"E. alletteratus",TRUE,1
"fyear2019",2.17,0.51,"<0.01",2,"E. alletteratus",TRUE,1
"fyear2020",1.82,0.5,"<0.01",2,"E. alletteratus",TRUE,1
"fyear2021",2.25,0.67,"<0.01",2,"E. alletteratus",TRUE,1
"fyear2022",2.25,0.72,"<0.01",2,"E. alletteratus",TRUE,1
"fyear2023",1.16,0.67,"0.08",2,"E. alletteratus",TRUE,1
"trop_catch",-0.01,0,"0.03",2,"E. alletteratus",TRUE,1
