"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-4.24,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2014",-4.72,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2015",-4.14,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2016",-4.32,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2017",-4.49,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2018",-4.63,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2019",-5.08,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2020",-4.55,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2021",-4.41,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2022",-4.8,0.52,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2023",-4.39,0.53,"<0.01",1,"E. bipinnulata",TRUE,1
"quarter2",-0.25,0.05,"<0.01",1,"E. bipinnulata",TRUE,1
"quarter3",-0.18,0.06,"<0.01",1,"E. bipinnulata",TRUE,1
"quarter4",-0.14,0.05,"<0.01",1,"E. bipinnulata",TRUE,1
"trop_catch",0,0,"<0.01",1,"E. bipinnulata",TRUE,1
"sst",0.18,0.01,"<0.01",1,"E. bipinnulata",TRUE,1
"fyear2013",-1.78,0.2,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2014",-2.06,0.2,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2015",-1.8,0.18,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2016",-1.53,0.17,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2017",-1.96,0.17,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2018",-2.21,0.17,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2019",-2.1,0.17,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2020",-2,0.18,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2021",-1.82,0.17,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2022",-1.93,0.18,"<0.01",2,"E. bipinnulata",TRUE,1
"fyear2023",-1.53,0.18,"<0.01",2,"E. bipinnulata",TRUE,1
"quarter2",0.07,0.04,"0.08",2,"E. bipinnulata",TRUE,1
"quarter3",-0.21,0.04,"<0.01",2,"E. bipinnulata",TRUE,1
"quarter4",-0.09,0.04,"<0.01",2,"E. bipinnulata",TRUE,1
"trop_catch",0,0,"<0.01",2,"E. bipinnulata",TRUE,1
