"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-1.23,0.88,"0.16",1,"Echeneidae",TRUE,2
"fyear2014",-1.38,0.88,"0.12",1,"Echeneidae",TRUE,2
"fyear2015",-1.48,0.82,"0.07",1,"Echeneidae",TRUE,2
"fyear2016",-1.63,0.84,"0.05",1,"Echeneidae",TRUE,2
"fyear2017",-1.53,0.83,"0.07",1,"Echeneidae",TRUE,2
"fyear2018",-1.57,0.83,"0.06",1,"Echeneidae",TRUE,2
"fyear2019",-1.69,0.84,"0.04",1,"Echeneidae",TRUE,2
"fyear2020",-2.02,0.84,"0.02",1,"Echeneidae",TRUE,2
"fyear2021",-2.21,0.86,"<0.01",1,"Echeneidae",TRUE,2
"fyear2022",-1.76,0.85,"0.04",1,"Echeneidae",TRUE,2
"fyear2023",-2.22,0.88,"0.01",1,"Echeneidae",TRUE,2
"trop_catch",0,0,"0.02",1,"Echeneidae",TRUE,2
"sst",-0.1,0.03,"<0.01",1,"Echeneidae",TRUE,2
"fyear2013",-6.62,0.41,"<0.01",2,"Echeneidae",TRUE,2
"fyear2014",-6.05,0.48,"<0.01",2,"Echeneidae",TRUE,2
"fyear2015",-5.47,0.27,"<0.01",2,"Echeneidae",TRUE,2
"fyear2016",-5.33,0.26,"<0.01",2,"Echeneidae",TRUE,2
"fyear2017",-5.82,0.25,"<0.01",2,"Echeneidae",TRUE,2
"fyear2018",-5.78,0.26,"<0.01",2,"Echeneidae",TRUE,2
"fyear2019",-5.45,0.29,"<0.01",2,"Echeneidae",TRUE,2
"fyear2020",-5.48,0.32,"<0.01",2,"Echeneidae",TRUE,2
"fyear2021",-5.16,0.37,"<0.01",2,"Echeneidae",TRUE,2
"fyear2022",-6.08,0.3,"<0.01",2,"Echeneidae",TRUE,2
"fyear2023",-6.32,0.36,"<0.01",2,"Echeneidae",TRUE,2
"quarter2",0.07,0.22,"0.74",2,"Echeneidae",TRUE,2
"quarter3",-0.37,0.23,"0.12",2,"Echeneidae",TRUE,2
"quarter4",-0.46,0.22,"0.04",2,"Echeneidae",TRUE,2
