"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-10.63,1.49,"<0.01",1,"I. albicans",TRUE,3
"fyear2014",-11.84,1.51,"<0.01",1,"I. albicans",TRUE,3
"fyear2015",-11.59,1.49,"<0.01",1,"I. albicans",TRUE,3
"fyear2016",-12.37,1.49,"<0.01",1,"I. albicans",TRUE,3
"fyear2017",-12.22,1.49,"<0.01",1,"I. albicans",TRUE,3
"fyear2018",-11.92,1.47,"<0.01",1,"I. albicans",TRUE,3
"fyear2019",-12.02,1.51,"<0.01",1,"I. albicans",TRUE,3
"fyear2020",-12.14,1.5,"<0.01",1,"I. albicans",TRUE,3
"fyear2021",-12.53,1.52,"<0.01",1,"I. albicans",TRUE,3
"fyear2022",-12.48,1.51,"<0.01",1,"I. albicans",TRUE,3
"fyear2023",-12.65,1.55,"<0.01",1,"I. albicans",TRUE,3
"quarter2",-0.41,0.18,"0.02",1,"I. albicans",TRUE,3
"quarter3",-0.11,0.26,"0.67",1,"I. albicans",TRUE,3
"quarter4",-0.16,0.18,"0.38",1,"I. albicans",TRUE,3
"sst",0.17,0.05,"<0.01",1,"I. albicans",TRUE,3
