"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-2.45,0.27,"<0.01",1,"K. pelamis",TRUE,1
"fyear2014",-1.95,0.27,"<0.01",1,"K. pelamis",TRUE,1
"fyear2015",-2.12,0.25,"<0.01",1,"K. pelamis",TRUE,1
"fyear2016",-2.7,0.25,"<0.01",1,"K. pelamis",TRUE,1
"fyear2017",-3.37,0.25,"<0.01",1,"K. pelamis",TRUE,1
"fyear2018",-3.94,0.26,"<0.01",1,"K. pelamis",TRUE,1
"fyear2019",-3.95,0.26,"<0.01",1,"K. pelamis",TRUE,1
"fyear2020",-4.23,0.27,"<0.01",1,"K. pelamis",TRUE,1
"fyear2021",-3.88,0.27,"<0.01",1,"K. pelamis",TRUE,1
"fyear2022",-4.36,0.28,"<0.01",1,"K. pelamis",TRUE,1
"fyear2023",-3.77,0.27,"<0.01",1,"K. pelamis",TRUE,1
"quarter2",0.27,0.09,"<0.01",1,"K. pelamis",TRUE,1
"quarter3",0.1,0.1,"0.34",1,"K. pelamis",TRUE,1
"quarter4",0.17,0.09,"0.04",1,"K. pelamis",TRUE,1
"trop_catch",0.01,0,"<0.01",1,"K. pelamis",TRUE,1
"fyear2013",2.96,0.92,"<0.01",2,"K. pelamis",TRUE,1
"fyear2014",3.38,0.91,"<0.01",2,"K. pelamis",TRUE,1
"fyear2015",2.87,0.88,"<0.01",2,"K. pelamis",TRUE,1
"fyear2016",3.55,0.9,"<0.01",2,"K. pelamis",TRUE,1
"fyear2017",4.49,0.9,"<0.01",2,"K. pelamis",TRUE,1
"fyear2018",4.55,0.91,"<0.01",2,"K. pelamis",TRUE,1
"fyear2019",4.51,0.91,"<0.01",2,"K. pelamis",TRUE,1
"fyear2020",4.86,0.91,"<0.01",2,"K. pelamis",TRUE,1
"fyear2021",4.46,0.94,"<0.01",2,"K. pelamis",TRUE,1
"fyear2022",5.41,0.96,"<0.01",2,"K. pelamis",TRUE,1
"fyear2023",3.92,0.95,"<0.01",2,"K. pelamis",TRUE,1
"quarter2",-0.09,0.16,"0.59",2,"K. pelamis",TRUE,1
"quarter3",0.39,0.19,"0.04",2,"K. pelamis",TRUE,1
"quarter4",0.22,0.17,"0.19",2,"K. pelamis",TRUE,1
"trop_catch",0,0,"0.03",2,"K. pelamis",TRUE,1
"sst",-0.14,0.03,"<0.01",2,"K. pelamis",TRUE,1
