"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-5.9,0.99,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2014",-6.06,0.99,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2015",-5.51,0.97,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2016",-5.46,0.98,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2017",-5.48,0.97,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2018",-5.8,0.97,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2019",-5.84,0.98,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2020",-5.69,0.98,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2021",-5.92,0.99,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2022",-5.84,0.98,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2023",-6.2,0.99,"<0.01",1,"Kyphosus spp.",TRUE,1
"quarter2",-0.12,0.09,"0.15",1,"Kyphosus spp.",TRUE,1
"quarter3",0.36,0.13,"<0.01",1,"Kyphosus spp.",TRUE,1
"quarter4",0.51,0.09,"<0.01",1,"Kyphosus spp.",TRUE,1
"sst",0.08,0.03,"<0.01",1,"Kyphosus spp.",TRUE,1
"fyear2013",-4.15,0.24,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2014",-5.1,0.32,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2015",-4.72,0.17,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2016",-4.67,0.14,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2017",-4.66,0.14,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2018",-4.69,0.15,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2019",-4.54,0.16,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2020",-4.58,0.16,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2021",-4.65,0.17,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2022",-4.54,0.17,"<0.01",2,"Kyphosus spp.",TRUE,1
"fyear2023",-4.9,0.2,"<0.01",2,"Kyphosus spp.",TRUE,1
"quarter2",-0.24,0.1,"0.02",2,"Kyphosus spp.",TRUE,1
"quarter3",-0.35,0.11,"<0.01",2,"Kyphosus spp.",TRUE,1
"quarter4",-0.21,0.09,"0.02",2,"Kyphosus spp.",TRUE,1
"trop_catch",0,0,"0.02",2,"Kyphosus spp.",TRUE,1
