"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-1.7,1.23,"0.17",1,"L. surinamensis",TRUE,1
"fyear2014",-2.17,1.23,"0.08",1,"L. surinamensis",TRUE,1
"fyear2015",-2.39,1.23,"0.05",1,"L. surinamensis",TRUE,1
"fyear2016",-2.33,1.23,"0.06",1,"L. surinamensis",TRUE,1
"fyear2017",-2.6,1.23,"0.03",1,"L. surinamensis",TRUE,1
"fyear2018",-2.84,1.23,"0.02",1,"L. surinamensis",TRUE,1
"fyear2019",-2.46,1.23,"0.05",1,"L. surinamensis",TRUE,1
"fyear2020",-2.92,1.23,"0.02",1,"L. surinamensis",TRUE,1
"fyear2021",-3.06,1.23,"0.01",1,"L. surinamensis",TRUE,1
"fyear2022",-3.22,1.23,"<0.01",1,"L. surinamensis",TRUE,1
"fyear2023",-3.17,1.23,"0.01",1,"L. surinamensis",TRUE,1
"quarter2",0.01,0.06,"0.83",1,"L. surinamensis",TRUE,1
"quarter3",0.44,0.07,"<0.01",1,"L. surinamensis",TRUE,1
"quarter4",0.8,0.06,"<0.01",1,"L. surinamensis",TRUE,1
"trop_catch",0,0,"<0.01",1,"L. surinamensis",TRUE,1
"fyear2013",-3.55,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2014",-3.5,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2015",-3.55,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2016",-3.6,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2017",-3.84,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2018",-4.03,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2019",-3.85,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2020",-4.11,0.44,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2021",-4.11,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2022",-4.01,0.45,"<0.01",2,"L. surinamensis",TRUE,1
"fyear2023",-3.92,0.47,"<0.01",2,"L. surinamensis",TRUE,1
"quarter2",0.04,0.06,"0.54",2,"L. surinamensis",TRUE,1
"quarter3",0.22,0.07,"<0.01",2,"L. surinamensis",TRUE,1
"quarter4",0.25,0.05,"<0.01",2,"L. surinamensis",TRUE,1
"trop_catch",0,0,"<0.01",2,"L. surinamensis",TRUE,1
"sst",-0.04,0.02,"<0.01",2,"L. surinamensis",TRUE,1
