"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",1.7,0.93,"0.07",1,"Lamnidae",TRUE,1
"fyear2014",2.28,0.9,"0.01",1,"Lamnidae",TRUE,1
"fyear2015",1.87,0.86,"0.03",1,"Lamnidae",TRUE,1
"fyear2016",2.21,0.87,"0.01",1,"Lamnidae",TRUE,1
"fyear2017",2.03,0.87,"0.02",1,"Lamnidae",TRUE,1
"fyear2018",1.94,0.87,"0.03",1,"Lamnidae",TRUE,1
"fyear2019",1.77,0.88,"0.04",1,"Lamnidae",TRUE,1
"fyear2020",1.69,0.88,"0.06",1,"Lamnidae",TRUE,1
"fyear2021",1.86,0.89,"0.04",1,"Lamnidae",TRUE,1
"fyear2022",1.72,0.89,"0.05",1,"Lamnidae",TRUE,1
"fyear2023",1.66,0.9,"0.07",1,"Lamnidae",TRUE,1
"quarter2",-0.06,0.16,"0.73",1,"Lamnidae",TRUE,1
"quarter3",-0.31,0.18,"0.09",1,"Lamnidae",TRUE,1
"quarter4",-0.36,0.17,"0.03",1,"Lamnidae",TRUE,1
"trop_catch",0.01,0,"<0.01",1,"Lamnidae",TRUE,1
"sst",-0.24,0.03,"<0.01",1,"Lamnidae",TRUE,1
"fyear2013",-2.84,0.25,"<0.01",2,"Lamnidae",TRUE,1
"fyear2014",-2.45,0.19,"<0.01",2,"Lamnidae",TRUE,1
"fyear2015",-2.9,0.11,"<0.01",2,"Lamnidae",TRUE,1
"fyear2016",-2.98,0.1,"<0.01",2,"Lamnidae",TRUE,1
"fyear2017",-2.96,0.09,"<0.01",2,"Lamnidae",TRUE,1
"fyear2018",-2.73,0.1,"<0.01",2,"Lamnidae",TRUE,1
"fyear2019",-2.81,0.12,"<0.01",2,"Lamnidae",TRUE,1
"fyear2020",-2.84,0.11,"<0.01",2,"Lamnidae",TRUE,1
"fyear2021",-2.69,0.13,"<0.01",2,"Lamnidae",TRUE,1
"fyear2022",-3.1,0.14,"<0.01",2,"Lamnidae",TRUE,1
"fyear2023",-2.58,0.15,"<0.01",2,"Lamnidae",TRUE,1
"trop_catch",0,0,"<0.01",2,"Lamnidae",TRUE,1
